Date,8,10,2019
Vehicle_order,SMART_TARGET,MERCEDES_GLE450,TESLA_MODELX,TESLA_MODELS,AUDI_E_TRON,TOYOTA_RAV4,
Number_of_vehicles,6
ACC,1
Distance_setting,S
Time,Speed1,E1,N1,Lon1,Lat1,Alt1,Speed2,E2,N2,Lon2,Lat2,Alt2,Speed3,E3,N3,Lon3,Lat3,Alt3,Speed4,E4,N4,Lon4,Lat4,Alt4,Speed5,E5,N5,Lon5,Lat5,Alt5,Speed6,E6,N6,Lon6,Lat6,Alt6,IVS1,IVS2,IVS3,IVS4,IVS5
831.9,8.200081359475558,136.54089478517798,-42.863657632344655,16.845300730113188,46.89463642486889,243.165,7.808982598179691,141.0998892008454,-25.934893573689926,16.845360554589902,46.89478870563031,243.239,8.254972820151172,144.08595055291937,-10.249356912426984,16.845399738572496,46.89492980308183,243.145,8.377553599130017,144.63889642499402,7.528469622774695,16.845406994492212,46.89508972148767,243.4875,8.727186424474665,142.888514612435,25.03590478885291,16.84538402546298,46.895247207618866,243.4875,8.359747268432455,138.19110353513085,45.84081854674297,16.845322384641786,46.8954343558417,243.7825,13.849784221552088,12.5294963685274,12.735189549395285,12.898398516175414,16.499470504285753
832.0,8.20032686036881,136.2752789128133,-43.63892747637784,16.845297244622945,46.89462945101766,242.929,7.837304324008407,140.95523716881854,-26.69941708540505,16.845358656423038,46.894781828446476,243.239,8.238418373129521,144.00738158307644,-11.090204848557171,16.845398707567178,46.894922239330356,243.145,8.350753554591117,144.6561497077496,6.684201990837583,16.8454072208949,46.895082126974714,243.4875,8.722807818484597,143.01678173615954,24.175250988088933,16.845385708622214,46.895239465706005,243.4875,8.378172874887843,138.4534626114527,45.045072946425705,16.845325827395392,46.89542719780314,243.7825,13.891986093975847,12.467073944904163,12.735008880306706,12.871386721546884,16.53374529141885
832.1,8.200581652460015,136.00492455734206,-44.412547930047175,16.845293696952915,46.894622492003315,242.929,7.873760490243917,140.80439423901694,-27.465500815709053,16.845356677017385,46.89477493722788,243.239,8.22048192995172,143.92395518461362,-11.935051874282054,16.84539761282123,46.89491463960554,243.145,8.32278513533695,144.66596535698926,5.841541502924285,16.84540734969876,46.89507454691865,243.4875,8.716539465314106,143.139651366832,23.314399106977692,16.845387320953947,46.895231722011346,243.4875,8.39617230074119,138.7116718403386,44.24602849412075,16.84532921569346,46.895420010090135,243.7825,13.931440087932987,12.402920314484438,12.740838628529874,12.84307521011306,16.565710519090366
832.2,8.200799438917803,135.73010130823582,-45.18464306921493,16.84529009064074,46.89461554670979,242.929,7.912162807282258,140.64715316214568,-28.23401624657236,16.845354613653342,46.894768024135196,243.239,8.202241569379838,143.8358078442203,-12.782472136438384,16.845396456125687,46.89490701673346,243.145,8.295030991998647,144.6715995507854,5.002472897661606,16.84540742363232,46.89506699917296,243.4875,8.709371118257097,143.25712628004175,22.45306598617245,16.845388862494595,46.89522397398774,243.4875,8.414041070618808,138.96574916599118,43.443672964312704,16.845332549771477,46.89541279259271,243.7825,13.967280353523114,12.339387380944974,12.753338863879874,12.81150484685439,16.595635737845658
832.3,8.200933922910796,135.4508830021345,-45.95520918006278,16.845286426655324,46.89460861517044,242.929,7.946322985519347,140.48343039432586,-29.005671157053484,16.84535246523463,46.89476108280168,243.239,8.184775370176,143.7430634843685,-13.631165068851681,16.845395239106697,46.89489938241324,243.21,8.268873775207435,144.6726015467812,4.16532701016386,16.84540743678081,46.89505946872284,243.4875,8.702292530607501,143.36921000225516,21.591478533106045,16.845390333290435,46.89521622367632,243.4875,8.432074709146942,139.2154933132575,42.63790761955266,16.84533582698824,46.89540554442267,243.7825,13.998761114952938,12.27851463042051,12.769517065763182,12.778507138431465,16.623250439562185
832.4,8.200985104438997,135.16712623611178,-46.72424053402065,16.845282703114894,46.894601697436826,242.929,7.97624102495518,140.31130821555513,-29.780842065431624,16.845350206596358,46.894754109840406,243.239,8.168083332340206,143.64583388876932,-14.479951308843065,16.845393963231107,46.89489174725367,243.21,8.244313484963309,144.6690165623195,3.331780251528984,16.84540738973758,46.89505197064829,243.4875,8.69530370236532,143.47590574361655,20.72964099172257,16.845391733383597,46.895208471115254,243.4875,8.450273216325598,139.46081074143393,41.828545146249006,16.845339046116287,46.89539826389509,243.6315,14.024984357566266,12.22228342366328,12.789861290900618,12.742403257912185,16.648389182365214
832.5,8.200952983502408,134.87905867650653,-47.4917340012011,16.845278923006948,46.8945947935371,243.00799999999998,8.001916925589759,140.13048363472652,-30.561345513023454,16.845347833762577,46.8947470889109,243.015,8.152165455872455,143.54421912783013,-15.327768613736131,16.845392629812082,46.89488412081005,243.21,8.221350121266273,144.6606000953071,2.4997045584512025,16.845407279294204,46.89504448580653,243.446,8.688404633530558,143.57721516436953,19.867850309636754,16.845393062795857,46.895200718975715,243.4875,8.46863659215477,139.701559979058,41.015869049516006,16.845342205299172,46.89539095356018,243.6315,14.04401052749407,12.173649090613209,12.811159551343293,12.705582391816002,16.671067315440258
832.6,8.200837560101025,134.5867178851891,-48.257677862301705,16.845275086824387,46.89458790357668,243.00799999999998,8.023350687423067,139.94039285842456,-31.346698425563535,16.845345339335047,46.89474002435856,243.015,8.137021740772767,143.43830798411125,-16.17366777736376,16.845391240014642,46.89487651162084,243.21,8.199983684116349,144.64715138039818,1.6705312452305563,16.84540710281618,46.8950370270728,243.446,8.681595324103208,143.6730757488045,19.00630714638658,16.845394320706877,46.89519296906271,243.4255,8.48716483663444,139.93763260587392,40.19992286669317,16.84534530311419,46.89538361380959,243.6315,14.056066107378282,12.133267784218473,12.833864219596872,12.666800299902565,16.691138743324785
832.7,8.200638834234853,134.29017665871208,-49.0220688127111,16.845271195522475,46.89458102758529,243.00799999999998,8.040542310455146,139.74034822210712,-32.138767379238445,16.845342714290002,46.894732899392864,243.015,8.122652187041103,143.32817837778268,-17.016808546574964,16.845389794861287,46.89486892724446,243.21,8.180214173513487,144.62812283001298,0.8442531609297758,16.845406853117897,46.89502959438277,243.446,8.674875774083269,143.76362954548298,18.144994266822874,16.845395508980648,46.89518522122118,243.4255,8.505857949764648,140.168999291621,39.38095800669005,16.845348339176454,46.89537624690484,243.6315,14.0590869078355,12.104015958534994,12.857070724470177,12.626006303837789,16.70889697272664
832.8,8.200356805903887,133.9894858145946,-49.78489374491636,16.845267249768046,46.894574165680844,243.00799999999998,8.053491794685971,139.55175197972434,-32.915115949028404,16.84534023947418,46.89472591583807,243.015,8.109056794677485,143.21389779208104,-17.856455537741727,16.845388295237555,46.89486137429596,243.21,8.162041589457715,144.60436002992378,0.01953863080251716,16.84540654129539,46.895022175757525,243.446,8.668245983470744,143.8487236489882,17.28367001144747,16.84539662561071,46.89517747327733,243.4255,8.524715931545376,140.39547489127864,38.55870240151032,16.845351311056437,46.89536885039856,243.929,14.08099890366639,12.05982688661819,12.878756238469624,12.584340166781054,16.724315496707455
832.9,8.19999147510813,133.68472779632836,-50.54614287693612,16.845263250642954,46.894567317951314,243.00799999999998,8.062199140115546,139.3585047499335,-33.69182636210527,16.845337703626722,46.89471892902836,243.015,8.09623556368191,143.0955236987663,-18.69197415326585,16.8453867418976,46.894853858483785,243.21,8.14546593194903,144.5758725126466,-0.8004522998883522,16.84540616747374,46.89501479962286,243.446,8.661705952265631,143.92834499006486,16.42310992034781,16.84539767042556,46.895169732207435,243.4255,8.543738781976622,140.617159132305,37.73308363397216,16.845354220062788,46.89536142363934,243.929,14.101578032961918,12.020619904826615,12.901425525541795,12.5394098825932,16.736537472593252
833.0,8.199604639145196,133.37592070720194,-51.30579513796362,16.845259198384753,46.89456048458626,243.00799999999998,8.069789563150453,139.16057922931688,-34.46899653075788,16.845335106389346,46.89471193808297,243.015,8.084154647666704,142.97310398357868,-19.522826498085788,16.84538513546979,46.89484638464652,243.18599999999998,8.12914622845059,144.5428234531115,-1.6199288545128832,16.845405733794177,46.895007428115214,243.446,8.654440864447016,144.00247023268525,15.563049606909056,16.845398643118976,46.895161995633224,243.4255,8.56265932023461,140.83364630279812,36.9045310332864,16.845357060871642,46.89535397048916,243.929,14.120695715016689,11.987024427798893,12.920348024009796,12.495152524328187,16.746304091433828
833.1,8.19925809531271,133.06310728330806,-52.06382154487852,16.845255093554236,46.89455366584639,243.00799999999998,8.07938828019727,138.9575312346453,-35.246724638404764,16.845332441933344,46.8947049421187,243.015,8.072780200244203,142.8466773716954,-20.348567296183493,16.8453834764623,46.89483895678958,243.18599999999998,8.111741506425572,144.50498633466543,-2.434888796445017,16.84540523728429,46.89500009723624,243.4285,8.645635903993991,144.07127316410163,14.703515771933008,16.845399545971446,46.895154263794886,243.4255,8.581210365495544,141.04510663180062,36.07301360784268,16.845359835716785,46.89534649066922,243.715,14.138069900417518,11.959680688211744,12.939037348764506,12.447571489910779,16.75355294245174
833.2,8.198951843610661,132.7462289302051,-52.8202908419961,16.845250935382516,46.89454686111332,243.1535,8.090995291256016,138.74965107425527,-36.02478914333404,16.84532971406823,46.894697943128406,243.0755,8.06211222141438,142.71627385318746,-21.168839807091235,16.845381765268655,46.89483157812201,243.18599999999998,8.093251765873934,144.46239867548226,-3.248551462075432,16.845404678436395,46.89499277802677,243.4285,8.635291070906543,144.13492155583202,13.844820450598569,16.845400381184522,46.89514653949932,243.55200000000002,8.599391917759464,141.25144514433717,35.23833367665973,16.84536254335194,46.89533898240136,243.715,14.154083097175505,11.938649072637233,12.953923134963825,12.400188467253376,16.75780877191452
833.3,8.198685884039058,132.42526146197844,-53.57512941649829,16.845246723552215,46.89454007104924,242.903,8.104610596326685,138.53693380737582,-36.803193503955214,16.845326922729175,46.894690941081,243.0755,8.05215071117725,142.5819151084766,-21.983371742398468,16.845380002173364,46.89482425109312,243.18599999999998,8.073677006795696,144.4146142647577,-4.0604389847301094,16.84540405139519,46.89498547478539,243.4285,8.623406365184675,144.19307746868157,12.986956554013734,16.845401144323652,46.89513882268272,243.55200000000002,8.61720397702635,141.45238845266104,34.400736384645114,16.84536518018962,46.89533144789068,243.715,14.168665961363821,11.924193625660575,12.96515581657475,12.352514868585374,16.759302644052482
833.4,8.198460216597898,132.10031600328725,-54.32824540686987,16.84524245952154,46.89453329648045,242.903,8.120234195409273,138.3191594467096,-37.58217120607935,16.84532406502943,46.89468393387615,243.0755,8.042895669532811,142.4436149337919,-22.791971182258674,16.845378187357458,46.89481697742932,243.18599999999998,8.053017229190864,144.3625671501251,-4.869273381433887,16.845403368417514,46.894978199008065,243.4285,8.609981786828389,144.2461000066862,12.1302034117996,16.84540184010112,46.895131115857794,243.55200000000002,8.634646543296201,141.6478711510791,33.56042347911262,16.84536774537156,46.895323888952035,243.715,14.18139592972478,11.916776070246208,12.973900431019885,12.303555676522029,16.75800057551875
833.5,8.19827484128718,131.77141422732342,-55.07959948537552,16.8452381435749,46.894526537760754,242.903,8.137866088503783,138.0963692134582,-38.360255218396404,16.84532114150992,46.894676934710375,243.0755,8.034347096481065,142.3013796666269,-23.59452249189616,16.8453763209041,46.89480975817078,243.18599999999998,8.031272433059428,144.30667224757127,-5.6750868680055095,16.845402634948027,46.894970950404975,243.4285,8.595017335837683,144.2938385000164,11.27461174604508,16.845402466539788,46.895123419480804,243.55200000000002,8.65171961656902,141.83812935977525,32.71751480209713,16.845370241996196,46.895316306663396,243.715,14.193609771990804,11.91507699891119,12.980054600681616,12.25338338969311,16.753911495388902
833.6,8.198129758106905,131.4385636833459,-55.829178524861724,16.84523377581135,46.89451979500822,242.903,8.157506275610192,137.86832443113906,-39.138962502998936,16.84531814903866,46.89466992993804,243.0755,8.026504992022023,142.1552086111961,-24.39098223811293,16.845374402804165,46.89480259370819,243.18599999999998,8.008442618401421,144.24697555828737,-6.478671679784666,16.845401851590367,46.89496372184969,243.4285,8.57851301221258,144.3363376395078,10.420431273961533,16.845403024226098,46.895115735798036,243.55200000000002,8.668423196844785,142.02275778040155,31.871838694559315,16.845372664745085,46.895308699480665,243.715,14.203777260782724,11.920655482996045,12.982799261742446,12.203019141445244,16.74665767360905
833.7,8.198024967057071,131.10176401298253,-56.57694343702436,16.8452293562262,46.894513068574454,242.903,8.17915475672854,137.63511106971887,-39.91847985052263,16.84531508874377,46.89466291787888,243.0755,8.019369356155657,142.00509446389194,-25.181375105795563,16.845372432961806,46.894795483819536,243.239,7.9845277852167875,144.18325309474713,-7.28064764755738,16.845401015405304,46.89495650776657,243.4285,8.56046881595304,144.37377437044188,9.567685194315485,16.845403515481983,46.89510806501817,243.55200000000002,8.684757284123533,142.2018583367661,31.023537174075624,16.8453750149557,46.89530106868135,243.715,14.21171188705985,11.933630305851375,12.981525515453562,12.153089933585868,16.736349023689982
833.8,8.197837890281896,130.76101953681248,-57.32285493263364,16.84522488487613,46.89450635881288,242.903,8.200819923785934,137.39654710333394,-40.69807472396801,16.845311958236653,46.89465590512233,243.0755,8.01351888800134,141.85102373874162,-25.965789814421946,16.84537041120006,46.89478842770671,243.239,7.960877335896567,144.11572160321074,-8.080589655736254,16.845400129237042,46.8949493119797,243.145,8.541682699044173,144.40616752612144,8.71647104270668,16.84540394055458,46.8951004080186,243.55200000000002,8.700280717871562,142.375187706772,30.172550301436733,16.845377289435092,46.89529341372624,243.601,14.217984187232164,11.953250699966366,12.976778600428581,12.103251546696743,16.722837400799335
833.9,8.197445949925589,130.41632718630817,-58.06687555333618,16.84522036172089,46.894499666060455,243.042,8.220510168709493,137.152591570233,-41.47811633183323,16.845308756979804,46.89464888834723,243.165,8.00953228667842,141.69297719286385,-26.74437503456824,16.845368337266418,46.894781424032395,243.239,7.938840672831775,144.04390909869272,-8.877197451307389,16.845399186892063,46.89494214618537,243.145,8.522952613471071,144.43373344808242,7.866778011771222,16.84540430228278,46.8950927647021,243.4875,8.71455233755518,142.54286713589906,29.31925913933669,16.845379489774288,46.89528573804316,243.601,14.222191694234759,11.979725687199807,12.969945562013114,12.052192607133286,16.706501063334287
834.0,8.196849145988152,130.06770167588311,-58.808950101329145,16.845215786953553,46.89449299081371,243.042,8.238225491499215,136.9030581451147,-42.25877882417778,16.8453054825282,46.89464186598704,243.165,8.007409552186898,141.53093025192578,-27.517335304415607,16.845366210838403,46.89477447095666,243.239,7.918417796022407,143.96810362678326,-9.672508358479767,16.84539819215018,46.89493499205704,243.145,8.50427855923373,144.45617690911087,7.018877318502427,16.845404596792537,46.89508513750837,243.4875,8.72757214317439,142.70482617974332,28.463243425354616,16.84538161504889,46.895278037851675,243.601,14.2240368816134,12.013064875884904,12.959253499784012,12.002199951622481,16.686611941784726
834.1,8.196047478469584,129.71511131526077,-59.54902815301491,16.845211160158282,46.89448633352622,243.042,8.25396589215509,136.6478123036702,-43.03947213629445,16.845302133116576,46.89463484334963,243.165,8.007150684526774,141.36485343559966,-28.284926946257144,16.84536403152917,46.89476756617382,243.239,7.899608705468488,143.88916069734196,-10.464278155881773,16.845397156237652,46.894927869782364,243.145,8.48566053633218,144.47389404200797,6.1725921413045945,16.845404829282003,46.89507752484682,243.4875,8.739340134729174,142.86080488832582,27.60491711481396,16.845383661847762,46.8952703168755,243.601,14.22396750586342,12.052485785000426,12.94731170941272,11.950822806089597,16.66379198754408
