Date,8,10,2019
Vehicle_order,SMART_TARGET,MERCEDES_GLE450,TESLA_MODELX,AUDI_E_TRON,
Number_of_vehicles,4
ACC,1
Distance_setting,S
Time,Speed1,E1,N1,Lon1,Lat1,Alt1,Speed2,E2,N2,Lon2,Lat2,Alt2,Speed3,E3,N3,Lon3,Lat3,Alt3,Speed4,E4,N4,Lon4,Lat4,Alt4,IVS1,IVS2,IVS3
182.5,11.100404253860589,-129.47240401428508,-58.2293632639722,16.8418100247189,46.89449820442083,244.595,10.711474151485355,-119.93139494823788,-72.29937401379597,16.841935224669296,46.894371639247936,244.34799999999998,10.65618756426257,-111.01487287737484,-86.93833842032836,16.842052229916142,46.89423995611747,244.183,11.264233936596876,-97.61917348851952,-101.75517476233982,16.842228012256083,46.89410667296035,243.98,12.88532900326762,13.70296186134943,14.923334785996284
182.6,11.100709127387486,-129.9359119683296,-57.225890825370605,16.841803942430072,46.894507231042425,244.327,10.731007187647304,-120.5021296599371,-71.39324788976687,16.841927735319153,46.89437979020187,244.34799999999998,10.638882529412587,-111.67112666613356,-86.10834165122152,16.842043618359313,46.8942474222585,245.055,11.241496291146856,-98.4280844891551,-100.97812247877701,16.842217397486042,46.894113662845314,243.98,12.90632201787951,13.7238628933111,14.860786109835482
182.7,11.101016083589652,-130.39123255604144,-56.2185253164289,16.84179796757829,46.89451629268367,244.7765,10.746543136393228,-121.06780458559915,-70.4828394864503,16.841920312365026,46.89438797967657,244.34799999999998,10.624483209582774,-112.32767198153209,-85.27941397001356,16.84203500297698,46.89425487878268,244.209,11.218503772017536,-99.22910645745964,-100.19596049524378,16.842206886238227,46.894120698694,243.98,12.926482746751105,13.747385835687258,14.800107917637913
182.8,11.10132512246708,-130.83834779337354,-55.20734172010911,16.841792100399555,46.89452538867009,244.7765,10.758081997723119,-121.62767354631941,-69.56822961238551,16.841912965598492,46.89439620694512,244.34799999999998,10.612989604773134,-112.97839946133273,-84.44631865525173,16.842026463938016,46.89426237279632,244.209,11.195256379208937,-100.02209202741527,-99.40922667380542,16.842196480446415,46.89412777566813,244.19,12.946266221867926,13.7717774653713,14.741555485219306
182.9,11.101636244019772,-131.2772489126497,-54.192423481433785,16.841786341008913,46.894534518251064,244.7765,10.765623771636989,-122.1832534799206,-68.64902090562569,16.841905675113846,46.89440447558193,244.6835,10.604401714983663,-113.61855349734348,-83.6107264505278,16.842018063646915,46.89426988927045,244.209,11.171754112721047,-100.8070761881921,-98.61772406187988,16.842186179651467,46.894134895539366,244.19,12.964495372895739,13.80194486537805,14.680565843700698
183.0,11.10194944824773,-131.70792821916925,-53.173821791824075,16.841780689507328,46.89454368096609,244.7765,10.76916845813483,-122.73359969169373,-67.72576208041644,16.841898453307646,46.89441278065112,244.46200000000002,10.598719540214367,-114.25344473207257,-82.7707343784036,16.842009732415853,46.8942774453231,244.209,11.147996972553868,-101.58420369202288,-97.82193634742704,16.8421759819539,46.89414205395678,244.19,12.98215633012693,13.832588174873989,14.622310321604607
183.1,11.102264735150952,-132.13038210453064,-52.15161840255482,16.841775145942165,46.894552876079786,244.6395,10.768716057216645,-123.27707062544948,-66.79835224332105,16.841891321720883,46.894421123060276,244.46200000000002,10.595943080465238,-114.88205279595064,-81.92641902817834,16.842001483634427,46.89428504026528,244.209,11.1239849587074,-102.35323997980112,-97.02148383238381,16.842165890431673,46.894149254335844,244.19,12.999998338353786,13.863553151504021,14.565904653865928
183.2,11.102582104729438,-132.54461410260507,-51.12593309331059,16.841769710267045,46.89456210251471,244.6395,10.764266568882434,-123.81361821072905,-65.86765010048768,16.841884280984353,46.89442949508497,244.46200000000002,10.596072335736283,-115.50510878793364,-81.07832635145924,16.841993307708925,46.894292669185994,244.511,11.099718071181634,-103.11444494718671,-96.21676065330513,16.84215590167435,46.89415649313119,243.8495,13.018702402103035,13.89419631934841,14.511504572958273
183.3,11.102901556983188,-132.95060819627568,-50.096869539535334,16.841764382692148,46.894571359338244,244.6395,10.755819993132196,-124.34355111005873,-64.93273971876604,16.841877327047698,46.894437904964406,244.46200000000002,10.5991073060275,-116.12219049757964,-80.22562051873469,16.841985210179732,46.894300339603795,244.27,11.075196309976587,-103.86775536718314,-95.40776628811086,16.84214601651162,46.8941637703475,244.18,13.037251764392062,13.924949574135516,14.459499648020744
183.4,11.103213993131904,-133.34806039647137,-49.0643103171916,16.841759167206508,46.89458064760666,244.6395,10.747881730003376,-124.86802277737223,-63.99273390893774,16.84187044477494,46.894446360679204,244.46200000000002,10.603293528836506,-116.73242544048166,-79.37128720410387,16.841977202495848,46.894308024661456,244.27,11.0507904373045,-104.61313353532049,-94.59480276050668,16.842136235438257,46.894171083267956,244.18,13.054279223039876,13.960186924711554,14.40725153056018
183.5,11.103510314395287,-133.73728535459227,-48.02862882960486,16.841754059681186,46.89458996396107,244.6395,10.744957179533413,-125.3862720249037,-63.04825792546721,16.841863644154625,46.89445485660491,244.46200000000002,10.606876541660927,-117.33689912307423,-78.51337656316255,16.84196927041292,46.894315741898524,244.27,11.02687121537762,-105.35070108803221,-93.77786953531769,16.842126556858098,46.894178431897366,244.18,13.070574660024052,13.996775032579418,14.356849006947346
183.6,11.103790520773337,-134.11829050878916,-46.98993622189857,16.84174906001856,46.89459930740165,244.985,10.747046341722305,-125.89834913562369,-62.099419914622814,16.84185692452692,46.89446339176874,244.595,10.609856344500763,-117.93558491051151,-77.6498456737861,16.841961414280473,46.894323509691894,244.27,11.003438644195947,-106.0804553607033,-92.95702937836563,16.842116980806118,46.894185815671136,244.18,13.086140720248126,14.032845887693256,14.30991179739906
183.7,11.104054612266053,-134.4910729693124,-45.948294686033904,16.841744168256565,46.89460867736897,244.835,10.75414921657006,-126.40409405553959,-61.1465896003611,16.841850287992102,46.89447196284489,244.595,10.612232937356014,-118.53022994291011,-76.78220267855741,16.841953611172016,46.89433131447525,244.27,10.980492723759477,-106.80230003524099,-92.13252593325731,16.842107508546235,46.89419323239761,244.18,13.101350316767972,14.068548821190165,14.26654954080526
183.8,11.104302588873436,-134.8556260781467,-44.90381175482784,16.841739384482562,46.89461807289575,244.835,10.766265804076667,-126.90307323879169,-60.18886973115171,16.841843740239284,46.894480577904474,244.595,10.61400632022668,-119.11849486281136,-75.90810692971691,16.841945891785286,46.89433917730362,244.27,10.958033454068218,-107.51642669650221,-91.30407474141676,16.84209813756441,46.894200684635585,244.183,13.115537675991447,14.103471318604978,14.226831452404829
183.9,11.104534450595489,-135.21193446643423,-43.856564549316566,16.841734708898226,46.89462749328826,244.835,10.783396104242144,-127.39607059188612,-59.226546867488544,16.841837270981816,46.89448923436974,244.595,10.615176493112758,-119.69938700060105,-75.0345826927983,16.841938269146386,46.89434703499101,244.34799999999998,10.936060835122166,-108.22284778041471,-90.47219584069893,16.842088867697452,46.89420816770711,244.183,13.128533011926331,14.144437081443858,14.184951931100375
184.0,11.104750197432208,-135.56001094273086,-42.80661483634905,16.84173014133548,46.89463693799085,244.835,10.805540117066467,-127.88237858858001,-58.259483023103506,16.841830889504067,46.894497933481986,244.595,10.61574345601425,-120.27492690569271,-74.15474959492303,16.84193071674107,46.89435494942904,244.34799999999998,10.914574866921324,-108.92161061544238,-89.63666844039696,16.842079698324312,46.8942156835983,244.183,13.140507253816981,14.18420190483534,14.147401340287
184.1,11.10494982938359,-135.89984903205584,-41.75406645769385,16.84172568187929,46.89464640606944,244.835,10.832697842549653,-128.360906565237,-57.28762377855414,16.841824610118046,46.8945066757307,244.327,10.61570720893116,-120.84473981815563,-73.27035393881273,16.841923239487055,46.89436290490904,244.34799999999998,10.893575549465687,-109.61284035442408,-88.79799133277834,16.842070627802688,46.89422322782233,244.183,13.15180119285659,14.22409574780713,14.112875309129171
184.2,11.105172238675866,-136.23167658059378,-40.69908470975962,16.841721327539794,46.89465589603712,244.757,10.859518842649074,-128.83222298023185,-56.31135281618848,16.841818425364274,46.89451545766451,244.327,10.615120519193912,-121.40840876765051,-72.38152351390163,16.84191584285594,46.894370900281494,244.34799999999998,10.872847510654086,-110.29682431460877,-87.9556215977277,16.842061652362325,46.89423080526296,244.183,13.162447883336876,14.264333883871508,14.080410916137712
184.3,11.105456317535255,-136.55493150622092,-39.64144567322742,16.841717085692796,46.89466540990814,244.757,10.880652679322088,-129.29574917199622,-55.331417153372506,16.841812342836132,46.894524272563714,244.327,10.614036154132943,-121.96603858084835,-71.48782449801378,16.841908525472164,46.89437893944881,244.34799999999998,10.852175378385368,-110.97336654671228,-87.11003401522457,16.842052774574526,46.89423841164938,244.183,13.173328989342155,14.303572571088846,14.050919430170445
184.4,11.105802065961765,-136.869549207951,-38.58127722437757,16.84171295718601,46.8946749465322,244.757,10.89609935256871,-129.75112526984398,-54.34646890447032,16.841806367255927,46.894533132553065,244.7765,10.612454113748248,-122.51767299804486,-70.5893971044112,16.841901286761757,46.894387021149704,244.34799999999998,10.831559152659526,-111.64263554149723,-86.26117625165402,16.842043992228295,46.89424604745233,244.44400000000002,13.18322600486098,14.343023887464573,14.024171587968636
184.5,11.106209483955384,-137.17541377736518,-37.51862214355584,16.84170894354043,46.894684505524474,244.757,10.905858862388932,-130.1988930647518,-53.356478920496905,16.841800491514135,46.89454203789477,244.7765,10.610374398039829,-123.06253213420908,-69.68576542206458,16.841894136958587,46.89439514966517,244.6835,10.81099883347656,-112.30474601806587,-85.40907667389264,16.842035303818275,46.89425371241665,244.209,13.191789159286847,14.382845320419413,14.000077657482851
184.6,11.106678571516118,-137.47239542923614,-36.453511863169936,16.84170504645912,46.89469408660221,244.757,10.909931208782758,-130.6387398666824,-52.3615046723865,16.841794719713963,46.89455098807185,244.7765,10.607797007007687,-123.60169647129965,-68.77724058504211,16.841887061884265,46.89440332219647,244.46200000000002,10.790494420836469,-112.95961101081177,-84.55375246760502,16.842026710485634,46.89426140638774,244.209,13.199112525536199,14.422729801207824,13.979065712832961
184.7,11.10720932864397,-137.76035134163064,-35.38602689222571,16.841701267816244,46.894703689041215,244.40400000000002,10.908316391750192,-131.07075152153095,-51.36222082308225,16.841789050728913,46.894559977015454,244.6395,10.604721940651824,-124.13570575278912,-67.86414771860838,16.84188005445611,46.89441153581894,244.46200000000002,10.770045914739251,-113.60756213513494,-83.69563972092138,16.84201820787883,46.89426912544285,244.209,13.205650480547,14.462217188021267,13.961339315763734
184.8,11.107801755338931,-138.0391406185459,-34.31620803967884,16.841697609460677,46.894713312474366,245.019,10.901014411291225,-131.494703163813,-50.358452623098074,16.841783487509733,46.89456900629753,244.6395,10.601149198972236,-124.66219208909658,-66.94415950655741,16.841873145746273,46.894419811467706,244.46200000000002,10.74965331518491,-114.2487300430825,-82.83444423116286,16.8420097942834,46.8942768722284,244.209,13.211242889043582,14.50017784733618,13.947222185939063
184.9,11.108455851601011,-138.30865949034595,-33.244095392377055,16.841694072754112,46.8947229565411,245.019,10.88802526740586,-131.91071590883809,-49.350593531075056,16.841778028467132,46.89457807237875,244.6395,10.597078781968923,-125.18096659749584,-66.02382940324232,16.841866338233327,46.894428090191916,244.46200000000002,10.729316622173448,-114.88304489595501,-81.97017066763766,16.84200147061579,46.894284646702424,244.209,13.216139272958735,14.542425087351834,13.931204940514537
185.0,11.109114717669355,-138.5688053666409,-32.16976049969165,16.841690659042776,46.89473262059778,245.019,10.874843869712164,-132.31834966312917,-48.33858962603927,16.841772679376117,46.89458717574415,244.6395,10.594773833486158,-125.69371334776079,-65.09697126826728,16.841859609818414,46.89443642763829,244.46200000000002,10.709618706126092,-115.51043777642002,-81.10324757385914,16.841993237780358,46.894292445009974,244.511,13.220358655314847,14.582503559392956,13.919796008234561
