Date,8,10,2019
Vehicle_order,SMART_TARGET,TESLA_MODEL3,TESLA_MODELS,MERCEDES_GLE450,JAGUAR_I_PACE,BMW_I3,AUDI_E_TRON,
Number_of_vehicles,7
ACC,1
Distance_setting,L
Time,Speed1,E1,N1,Lon1,Lat1,Alt1,Speed2,E2,N2,Lon2,Lat2,Alt2,Speed3,E3,N3,Lon3,Lat3,Alt3,Speed4,E4,N4,Lon4,Lat4,Alt4,Speed5,E5,N5,Lon5,Lat5,Alt5,Speed6,E6,N6,Lon6,Lat6,Alt6,Speed7,E7,N7,Lon7,Lat7,Alt7,IVS1,IVS2,IVS3,IVS4,IVS5,IVS6
542.1,11.118898415182164,125.98948288707716,71.40835688356597,16.845162271357193,46.89566434570935,244.0905,11.291087287770992,107.24899011160572,98.30681686772344,16.844916353053414,46.895906307730506,244.56400000000002,11.203874305947751,79.53619517586435,122.38381651266765,16.844552697539918,46.89612288962779,244.7985,10.77516562914535,52.327447211745465,136.46461595301284,16.844195656280252,46.89624955184912,245.00099999999998,11.076770325616636,24.236186921072544,145.19074830993804,16.84382703443213,46.896328046774975,245.351,11.553239107438467,-1.3272090448653615,147.925571693526,16.843491583969325,46.896352647566026,245.78799999999998,11.475711512866273,-46.77525246994033,137.15486147356648,16.84289520126568,46.896255760873785,245.8645,28.668568985758128,33.3895034976209,25.80358167873567,24.479929233042068,21.299158985943674,42.369671756152364
542.2,11.11955568471354,126.52545182347099,70.43874516083659,16.845169304500526,46.89565562367797,244.0905,11.299099460429867,108.0053845622941,97.47248997944672,16.844926278685712,46.89589880263838,244.2675,11.19933512662044,80.47277240059894,121.76969514533931,16.844564987584008,46.89611736536925,244.7985,10.76885869032024,53.335440233713754,136.08188747160406,16.844208883463608,46.89624610905885,244.89,11.063953178032934,25.32591250424309,145.02371478061164,16.843841334134396,46.89632654424396,245.351,11.52773892963562,-0.1574893191743144,147.9865588909614,16.84350693337845,46.896353196169386,245.766,11.480717843259356,-45.69332495797396,137.53393746505265,16.842909398639346,46.89625917080853,245.752,28.6545806241712,33.39900889158167,25.84743230567437,24.46676358907019,21.244952915016867,42.38290960127394
542.3,11.119977129992623,127.05406811421543,69.46507614951024,16.845176241160253,46.89564686514971,243.9255,11.306248212246555,108.75586294485228,96.63225218881094,16.844936126685607,46.89589124437541,244.2675,11.194585434609056,81.40441746087103,121.14876471876406,16.84457721290677,46.896111779860604,244.7985,10.763771296801849,54.3400941124209,135.69147234775778,16.844222066829744,46.89624259712422,244.89,11.048565134187992,26.41282294571895,144.8488437781743,16.843855596895533,46.89632497121186,245.35299999999998,11.501961890590804,0.9721371440872614,148.01136178124347,16.843521756671898,46.89635341928094,245.766,11.486117634715367,-44.60791206040688,137.9044012859887,16.842923641749266,46.896262503273455,245.752,28.640288392235252,33.40938370492685,25.891310333809923,24.45485743151953,21.22638846617152,42.34995621866982
542.4,11.120162751019418,127.5752663278261,68.48737819509533,16.845183080477778,46.89563807037954,243.9255,11.312533543221035,109.50041083640244,95.78587885346708,16.844945896863834,46.89588363092085,244.2675,11.189625229913613,82.3312356494254,120.52068442037987,16.844589374889892,46.896106130036095,244.7985,10.759903448590174,55.34108100857507,135.29329748640382,16.844235202076646,46.89623901538779,244.89,11.030606194081798,27.496312063522662,144.66537749649152,16.843869814761053,46.8963233208619,245.35299999999998,11.475907990304027,2.1869594152267986,147.97958423229662,16.84353769793,46.89635313342964,245.766,11.491910887234313,-43.51935863711342,138.26601293454542,16.842937926070107,46.896265756109706,245.752,28.62545933278077,33.420458941753175,25.93571574258061,24.444258742885108,21.11531530540011,42.389879903089955
542.5,11.12011254779392,128.0889782931232,67.50561313249196,16.845189821558527,46.89562923902418,243.9255,11.317955453353322,110.23881390343234,94.93365761188849,16.84495558640786,46.89587596486211,244.36700000000002,11.1844545125341,83.25317917713913,119.88568440186701,16.84460147290627,46.89610041796603,245.037,10.757255145685225,56.338589453477475,134.88725902723033,16.844248291678273,46.896235362915256,244.89,11.01007635771438,28.576054538740635,144.47454014630702,16.843883983462018,46.89632160420634,245.35299999999998,11.449577228775315,3.3216962513699877,147.94478954096857,16.843552588283277,46.89635282043797,245.766,11.498097600816171,-42.427677261073114,138.61881510527928,16.842952251436866,46.89626892970129,245.69799999999998,28.61045060707044,33.432071005008915,25.98027193818559,24.435871873152227,21.08156084704776,42.35303447939909
542.6,11.119982716815233,128.5951141528253,66.51998098614135,16.845196463223374,46.89562037288291,243.9255,11.32182464080822,110.97122062218789,94.07556968176088,16.844965197266017,46.895868246030254,244.36700000000002,11.179679708003947,84.17019207219374,119.2439644787112,16.84461350622142,46.896094645447846,244.6175,10.755282739480641,57.33247013138395,134.47322112341394,16.844261333675266,46.89623163848464,244.9955,10.989113322375212,29.65483137910212,144.27540471666168,16.843898139491632,46.89631981290635,245.35299999999998,11.423394230043721,4.446957130290705,147.92212323963585,16.84356735429023,46.89635261654585,245.732,11.50351600757096,-41.33304707951757,138.96261299696823,16.84296661549872,46.8962720222959,245.69799999999998,28.594955708993933,33.444518087910446,26.02488303568364,24.426680958927086,21.06017698901905,42.31127939536982
542.7,11.119929454582437,129.09360349889255,65.53044167001258,16.845203004548402,46.895611471595146,244.102,11.323451803750524,111.69722966381859,93.2118972687562,16.844974724171966,46.89586047696382,244.36700000000002,11.1759072418566,85.08235494559976,118.59518196478405,16.844625475893153,46.89608880939892,244.6175,10.75344258137009,58.32273463282472,134.05162565969786,16.844274328219722,46.89622784607085,244.9955,10.969854785353839,30.7312244535363,144.06826440901472,16.843912264240764,46.89631794959939,245.342,11.3977836181484,5.552567106416472,147.91124813364883,16.84358186243221,46.89635251872007,245.732,11.507004339608653,-40.23583586359073,139.29760792326573,16.84298101342968,46.89627503570446,245.69799999999998,28.57943230585781,33.45702029657355,26.069982412072857,24.41799494411932,21.060134382115947,42.25434071368295
542.8,11.119952761095544,129.58435365853384,64.53703503195123,16.845209444317533,46.89560253551932,244.102,11.322836942180246,112.41701153902002,92.34240485245556,16.844984169363187,46.8958526555442,244.36700000000002,11.17313711409205,85.98944479729842,117.93978615134668,16.844637378995188,46.896082913860816,244.6175,10.751734671353562,59.3093469379424,133.62216618764978,16.844287274838976,46.89622398291728,244.9955,10.952300746650264,31.8053846798492,143.85306057704528,16.8439263596898,46.896316013757925,245.342,11.372745393089346,6.684327935785589,147.91238164585042,16.843596713733444,46.89635252891645,245.732,11.508562596929247,-39.1358171058675,139.62373453994698,16.842995448202036,46.89627796933915,245.69799999999998,28.563514489866265,33.47033427189481,26.115022211485723,24.409726505042887,21.03680766433546,42.226588343776825
542.9,11.120052636354554,130.06728558819245,63.53981550575228,16.84521578149353,46.89559356514509,243.86599999999999,11.319980056097373,113.13033501557399,91.46758352550393,16.844993529805382,46.895844786188995,244.22799999999998,11.171369324710305,86.89157739598433,117.27769077883616,16.84464921704668,46.896076958057606,244.6175,10.750159009431064,60.29241087422483,133.18460461981496,16.84430017489548,46.89622004688222,245.0135,10.936451206264486,32.877094097065005,143.62955429798618,16.843940422978598,46.896314003232746,245.342,11.348279554866568,7.7708609536647675,147.92629527375738,16.843610971541914,46.896352654074896,245.732,11.508190779532745,-38.03354252333008,139.94097381311386,16.84300991257599,46.896280823028754,245.59,28.547663549048597,33.483810656724856,26.159918600411853,24.402184736279068,21.061147621845716,42.158044494376824
543.0,11.120229080359467,130.54232430971456,62.538857567114064,16.845222015092506,46.89558456114241,243.86599999999999,11.314881145501914,113.83677222303714,90.58719533123022,16.84500279988392,46.89583686675766,244.267,11.170603873711352,87.7885854953236,116.60872827695096,16.844660987852972,46.89607094048191,244.69799999999998,10.748715595602595,61.271815548741685,132.73918432778734,16.844313026934064,46.896216040154926,245.0135,10.922306164196515,33.94658277459394,143.39838525231187,16.843954457126177,46.896311923778036,245.57299999999998,11.324386103480085,8.941329722513617,147.9547446850463,16.84362633078021,46.89635290998833,245.7355,11.505888887419152,-36.928997701522334,140.24944164516904,16.8430244067407,46.89628359781587,245.59,28.531803466640913,33.497313970347186,26.20481820529644,24.39520213390954,21.006875080260066,42.17578374035916
