Date,8,10,2019
Vehicle_order,SMART_TARGET,BMW_I3,MERCEDES_GLE450,JAGUAR_I_PACE,TESLA_MODELX,TESLA_MODEL3,TESLA_MODELS,MAZDA_3,AUDI_A4,
Number_of_vehicles,9
ACC,1
Distance_setting,S
Time,Speed1,E1,N1,Lon1,Lat1,Alt1,Speed2,E2,N2,Lon2,Lat2,Alt2,Speed5,E5,N5,Lon5,Lat5,Alt5,Speed6,E6,N6,Lon6,Lat6,Alt6,Speed7,E7,N7,Lon7,Lat7,Alt7,IVS1,IVS5,IVS6
968.0,8.241485815726973,-139.89432617426078,-299.79361314250576,16.84167326516565,46.89232524083207,243.324,8.248455639408355,-139.37917308920981,-282.2923287600229,16.841680025157206,46.892482671634596,243.5075,8.37788168906898,-139.83068259397868,-230.96343085140202,16.841674100315586,46.89294439486666,243.926,8.397070552550213,-140.55586347355563,-213.415616402122,16.841664584277027,46.89310224422508,243.4865,8.505717050992267,-141.36328189065063,-195.99519663650972,16.841653989093114,46.8932589476192,244.30900000000003,13.449292869353625,12.239667620442779,12.89955212602541
968.1,8.239840635727537,-139.88506997616395,-300.61821733877,16.841673386628226,46.8923178231993,243.324,8.256136148166897,-139.35316256853926,-283.07998990263263,16.841680366474968,46.89247558631885,243.5075,8.375366560822357,-139.82029365419947,-231.80146406015743,16.841674236642337,46.892936856434744,243.926,8.411139022068001,-140.54130727750703,-214.25728887762799,16.841664775287747,46.893094673056574,244.028,8.50419651314002,-141.33992417253387,-196.84459172418298,16.841654295600016,46.89325130698281,244.30900000000003,13.486719870129715,12.235859846890426,12.891432332169789
968.2,8.238306042341144,-139.87565972463682,-301.4428348964423,16.841673510112336,46.892310405446345,243.324,8.26393555463374,-139.32379699588438,-283.93163505661124,16.84168075181872,46.89246792544224,243.5075,8.372512991384497,-139.80999583551773,-232.639257748544,16.841674371773358,46.89292932015744,243.926,8.425280166275947,-140.5274061245496,-215.09970851240212,16.8416649577028,46.893087095167076,244.028,8.502500449821351,-141.31651663931262,-197.69332534565982,16.84165460276061,46.89324367229656,243.974,13.460321937598414,12.231090171902213,12.88469186503716
968.3,8.23725703970421,-139.86572862702852,-302.26669032676665,16.841673640431143,46.89230299454903,243.324,8.271406894866546,-139.29112573166537,-284.78112116810587,16.84168118054074,46.89246028398706,243.5075,8.369693467712668,-139.79967038359652,-233.4770101033588,16.841674507267005,46.89292178425191,243.926,8.437658195164403,-140.51375858444771,-215.94263976327943,16.841665136789867,46.89307951267538,244.028,8.500066954248892,-141.29313786855676,-198.54175833026054,16.841654909543777,46.893236040314655,243.974,13.435436103926447,12.22578010976721,12.878757643412984
968.4,8.236693627816733,-139.855690737476,-303.0908231900291,16.841673772151307,46.89229558115609,243.296,8.278550168865317,-139.25521031756486,-285.64039691168284,16.841681651833454,46.892452554470346,243.5075,8.366907989806862,-139.78952441716422,-234.3143580993692,16.841674640405387,46.892914251983754,243.926,8.448273108733371,-140.50052617525378,-216.78606055182004,16.841665310429466,46.893071925780106,244.028,8.496896026422641,-141.2697829069581,-199.38974885606686,16.841655216014505,46.89322841231285,243.974,13.401183003018053,12.219586984852688,12.873742370278661
968.5,8.236615806678712,-139.84552917710266,-303.9152109025078,16.841673905494318,46.892288165470674,243.296,8.285365376630054,-139.2161178272552,-286.4431404261258,16.841682164816707,46.89244533348285,243.5075,8.364156557667084,-139.77956206055256,-235.1512394936444,16.841674771134382,46.892906723912866,243.926,8.45712490698285,-140.48751693011909,-217.63025820674804,16.841665481140634,46.89306433189664,244.028,8.492987666342605,-141.2464497912668,-200.23768561389832,16.841655522198568,46.893220784794686,243.974,13.423832034635014,12.212153461402021,12.869553804706795
968.6,8.237023576290149,-139.83516140042215,-304.739665050029,16.841674041543357,46.89228074918767,243.296,8.291852518160745,-139.1739246606368,-287.36419949956485,16.84168271848795,46.89243704820129,243.463,8.361439171293336,-139.76958458082657,-235.98789371400107,16.841674902061833,46.89289919788549,243.881,8.46421358991283,-140.47489272587848,-218.47468892714303,16.84166564679919,46.89305673591665,244.028,8.488341874008784,-141.22307777768077,-201.08524168864352,16.84165582889306,46.89321316070093,243.974,13.328471257345242,12.204276600045796,12.865966110335947
968.7,8.237916936651045,-139.8246049040612,-305.5642672800326,16.841674180068832,46.892273331572596,243.296,8.298011593457412,-139.12870094303102,-288.2618947976705,16.84168331192698,46.89242897308587,243.463,8.358755830685611,-139.75960097479432,-236.82426400314014,16.84167503306967,46.89289167441218,243.881,8.469539157523336,-140.462462449642,-219.31982629824475,16.84166580991296,46.893049133580064,243.941,8.482958649421166,-141.19960767024332,-201.9325228713652,16.841656136874768,46.893205539079936,243.974,13.256789829007776,12.195418289271085,12.86335316497046
968.8,8.239295887761397,-139.81382262251978,-306.3890238017242,16.841674321557132,46.892265912569606,243.296,8.30384260252004,-139.08051801446388,-289.15073632922827,16.841683944197662,46.8924209776135,243.463,8.35610653584391,-139.74961865205947,-237.6599982938054,16.841675164060668,46.892884156659925,243.881,8.473101609814353,-140.45038938027824,-220.1656216432751,16.841665968339356,46.893041525324755,243.941,8.476837992579759,-141.1761903349607,-202.7796365150311,16.84165644416399,46.893197918966024,243.924,13.19430587554158,12.185281534054461,12.861559189031365
968.9,8.241160429621209,-139.8028048149319,-307.21390448502916,16.841674466136066,46.89225849244974,243.296,8.309345545348634,-139.0294398689534,-289.96683112446897,16.841684614460235,46.8924136365261,243.463,8.353491286768241,-139.7400013645493,-238.49504878771637,16.841675290261563,46.8928766450587,243.881,8.474900946785878,-140.43869386786872,-221.01150564922887,16.84166612181134,46.89303391627189,243.941,8.469979903484564,-141.15262708238555,-203.6267822388626,16.841656753367978,46.893190298563525,243.924,13.204831956189375,12.174373599622145,12.85980757032168
