Date,8,10,2019
Vehicle_order,SMART_TARGET,MAZDA_3,TOYOTA_RAV4,AUDI_E_TRON,BMW_I3,MERCEDES_GLE450,JAGUAR_I_PACE,TESLA_MODELX,TESLA_MODEL3,TESLA_MODELS,
Number_of_vehicles,10
ACC,1
Distance_setting,L
Time,Speed1,E1,N1,Lon1,Lat1,Alt1,Speed2,E2,N2,Lon2,Lat2,Alt2,Speed3,E3,N3,Lon3,Lat3,Alt3,Speed4,E4,N4,Lon4,Lat4,Alt4,Speed5,E5,N5,Lon5,Lat5,Alt5,Speed6,E6,N6,Lon6,Lat6,Alt6,Speed7,E7,N7,Lon7,Lat7,Alt7,Speed8,E8,N8,Lon8,Lat8,Alt8,Speed9,E9,N9,Lon9,Lat9,Alt9,Speed10,E10,N10,Lon10,Lat10,Alt10,IVS1,IVS2,IVS3,IVS4,IVS5,IVS6,IVS7,IVS8,IVS9
190.1,8.126392023619402,-142.50376296696774,1.88292049123292,16.841639023362216,46.89503893759598,245.3045,8.575984022476073,-140.16331049535674,-23.82709007263553,16.84166973547362,46.894807666135684,244.929,7.672387064655341,-132.65203102897092,-49.182257107450575,16.84176830071028,46.8945795866298,244.6395,6.988161434874548,-117.72990949477665,-77.84542297329125,16.841964113214274,46.894321750398674,244.27,6.838521057002763,-104.67863923320697,-98.28041146459576,16.84213537585306,46.89413792979627,244.422,7.5517090153755255,-89.23447183891619,-109.02152547801914,16.842338038797646,46.894041309333325,244.08599999999998,8.280869597500175,-67.66357610779579,-125.33576696822044,16.842621098488376,46.893894556439406,243.622,8.347045027297138,-44.152443530739845,-133.49126188867032,16.842929618542385,46.89382119461739,243.5755,8.221371049944711,-9.834019524783614,-140.27028220018258,16.843379955079474,46.89376021471529,243.269,8.125802669358624,19.27956919918437,-139.6217523310034,16.843761992224476,46.89376604849157,243.1485,21.833613370462828,23.16385131911025,27.73342420583461,19.71859284799376,14.350451969195325,22.44080027546806,20.475337368436094,29.658432331554646,24.581241999424485
190.2,8.126571196034789,-142.48363757673553,2.6959623691846946,16.841639287453553,46.89504625122122,245.3045,8.572266100107006,-140.31673670773085,-22.9820550687845,16.841667722169362,46.894815267551444,244.929,7.704882316130298,-132.9228594309503,-48.460628183852975,16.841764746819674,46.89458607796027,244.6395,6.998787340759883,-118.12118098429049,-77.26585030488205,16.841958978833755,46.89432696387834,244.27,6.829955803647174,-105.1244891298263,-97.79234537762363,16.842129525278498,46.89414232013896,244.422,7.499944659847982,-89.82131626132025,-108.55046497184307,16.842330338051102,46.894045546704255,244.08599999999998,8.26602174285334,-68.39325005081074,-124.94665905047407,16.842611523490508,46.89389805661519,243.622,8.352853020422376,-44.94734527202753,-133.23191559411345,16.842919187606007,46.893823527537315,243.5755,8.221414185013723,-10.651924268721288,-140.20011029098012,16.843369222290868,46.89376084593868,243.269,8.12935156759731,18.472245817307357,-139.72258141163948,16.843751398287644,46.893765141495116,243.1485,21.786578503453768,23.24923823751164,27.804269416529998,19.766522018937877,14.244647689186813,22.376743000060987,20.45665426748706,29.6730412162627,24.588515573374057
190.3,8.127341646518207,-142.45870869654698,3.5088901166606634,16.841639614577712,46.89505356381983,245.37599999999998,8.56894575364491,-140.4649199273742,-22.136680330964914,16.84166577766521,46.89482287202324,244.929,7.737015340680549,-133.1904620047944,-47.734422506343,16.84176123525934,46.89459261046041,244.6395,7.009591557751957,-118.5110217027173,-76.68373054964395,16.84195386322824,46.894332200270036,244.27,6.823197837383122,-105.61511024126014,-97.29169644857012,16.84212308720278,46.89414682366914,244.422,7.449156502237813,-90.40211599894616,-108.07909679970932,16.842322716624707,46.89404978684275,244.08599999999998,8.252637289865223,-69.11871437601671,-124.5528519268787,16.84260200373249,46.89390159906215,243.622,8.358771479193917,-45.74142657554863,-132.96846880989298,16.842908767435652,46.89382589734274,243.5755,8.221629038782407,-11.46944434297941,-140.12592055940502,16.843358494550017,46.89376151330392,243.269,8.133682396622845,17.664416447454126,-139.81933832286717,16.843740797711085,46.89376427112938,243.145,21.74024993757749,23.330814210865753,27.87702700232118,19.781783520728048,14.187868285635489,22.309401407166675,20.435819860655812,29.688271607527962,24.595904758044014
190.4,8.128703375069662,-142.42895995593247,4.321712486214852,16.841640004949507,46.895060875470506,245.37599999999998,8.56602298308978,-140.60766410746808,-21.290852797781746,16.841663904533743,46.8948304805681,244.929,7.768786138306103,-133.45490326500558,-47.00362791220955,16.841757765182706,46.89459918423962,244.6395,7.020574085850768,-118.89905074765001,-76.09882359844124,16.841948771396037,46.894337461733635,244.683,6.818247158210605,-106.1075601966183,-96.77052715700391,16.842116625128426,46.89415151178792,244.422,7.399344542545004,-90.97690865614868,-107.6071483777207,16.842315174025007,46.89405403220081,243.727,8.24071623853582,-69.84046904889634,-124.15642351842058,16.842592532653633,46.89390516508857,243.622,8.36480040361176,-46.53460491519299,-132.7008295606754,16.842898359114262,46.893828304861,243.607,8.222015611250761,-12.286600176722365,-140.04715960988156,16.843347771588835,46.89376222178904,243.35,8.138795156435236,16.855848179030176,-139.91152300387554,16.84373018743848,46.89376344189262,243.145,21.69453302501511,23.40861188015645,27.95172675887105,19.78072978214916,14.149376433400896,22.2398273031747,20.412666150362192,29.70392746629316,24.603194893231073
190.5,8.13065638168915,-142.3944128477554,5.134392397093962,16.841640458286907,46.895068185839726,245.37599999999998,8.563497788441621,-140.7451286883599,-20.445008146540815,16.84166210068275,46.89483808926695,244.929,7.8001947090069566,-133.71619640494922,-46.26834395197713,16.841754336416635,46.894605798402395,244.2105,7.031734925056324,-119.28558551058485,-75.51115480104687,16.841943699172248,46.894342748041105,244.683,6.815103766129623,-106.55880362656458,-96.18798359386514,16.84211070377832,46.894156751991936,244.422,7.350508780769558,-91.54556383742178,-107.13510441557881,16.842307711963073,46.89405827841829,243.727,8.230258588865135,-70.55848867496331,-123.7562176011796,16.84258311058717,46.89390876509514,243.622,8.370939793675905,-47.326755969204676,-132.42914876129632,16.842887964273213,46.89383074873457,243.607,8.222573902418784,-13.103262139764905,-139.96380691844868,16.843337055108368,46.893762971578646,243.35,8.144689847034478,16.046507626397442,-139.9993791542641,16.843719567031734,46.893762651592674,243.145,21.6498095883983,23.482356015175327,28.028193708972612,19.751107156276923,14.118935309979625,22.16692273198975,20.38773622823173,29.719971526449143,24.610222366024857
190.6,8.132718873659307,-142.3550985305881,5.946851228633728,16.841640974181036,46.89507549422025,245.37599999999998,8.560825162484393,-140.87712292589148,-19.599015889097974,16.841660368615223,46.89484569929357,244.929,7.831208506342077,-133.97441689436837,-45.528591632652294,16.841750947970795,46.89461245275981,244.2105,7.043409945850692,-119.67043541873608,-74.92049637044333,16.841938649057628,46.89434806124147,244.683,6.813293418530456,-107.01665496566702,-95.63495807404524,16.84210469571727,46.89416172666977,244.426375,7.303155951178633,-92.10807060600284,-106.66266275938726,16.842300330582447,46.894062528213205,243.727,8.219500167665334,-71.27235980404271,-123.3512328946191,16.842573742958514,46.89391240808876,243.7945,8.376644634583922,-48.1177711712104,-132.15309257880338,16.842877584337153,46.89383323196639,243.607,8.223168067504991,-13.919440745359653,-139.87585232470732,16.843326344970666,46.89376376276414,243.35,8.150879016658234,15.236498038199105,-140.08286311753457,16.84370893784571,46.893761900622216,243.145,21.605879808715034,23.552132175467605,28.10635057258716,19.745028416019444,14.082283855259973,22.090548099030485,20.360997095842873,29.73635064834397,24.61710457048934
190.7,8.134409058262772,-142.31137435304444,6.7592376900448325,16.84164154794266,46.895082801949776,245.37599999999998,8.557460098002055,-141.00381435292144,-18.752478649570747,16.841658706132744,46.89485331422251,244.84099999999998,7.8617949838704355,-134.22914072254974,-44.78466003904898,16.841747605409182,46.8946191447114,244.835,7.055935018715953,-120.05371429105476,-74.32694142365737,16.841933619558606,46.89435340049713,244.34799999999998,6.812341872803392,-107.43772968439184,-95.10168469651464,16.842099170249938,46.89416652366946,244.43075,7.257792788039389,-92.664449045072,-106.1900687933306,16.842293029619572,46.89406677937818,244.033,8.20667680174858,-71.9819336243742,-122.94311560852906,16.842564431720415,46.89391607926114,243.7945,8.381369911533378,-48.907763788142034,-131.87308867099577,16.842867217819755,46.893835750709535,243.607,8.223662261727895,-14.735140168163587,-139.78351169646407,16.843315641120938,46.8937645934037,243.35,8.15687521354417,14.425875523644306,-140.16158062573936,16.84369830061668,46.89376119252788,243.125,21.56249646107753,23.618767111050822,28.185812177577386,19.7768516778378,14.01004191379883,22.011687281060887,20.33179313174625,29.75312064071672,24.623897292072037
190.8,8.135726935499543,-142.26310547331298,7.571538388848246,16.841642181341214,46.89509010890782,245.37599999999998,8.55340259499461,-141.1250229157302,-17.906063198614916,16.84165711559804,46.894860928055905,244.84099999999998,7.891954141592008,-134.4806446016655,-44.03637801150103,16.841744305100697,46.89462587579681,244.835,7.069310143652098,-120.43528588549013,-73.73037751994264,16.841928612462986,46.89435876681952,244.34799999999998,6.812249128948425,-107.90347378686566,-94.52048849494673,16.842093058617703,46.894171751753426,244.435125,7.214419291351848,-93.21483757868616,-105.7171681622205,16.842285807258012,46.89407103330174,244.033,8.191788491114885,-72.68747004973665,-122.53071851014076,16.842555173462213,46.893919788932074,243.7945,8.385115624524271,-49.69665534173164,-131.58878323470213,16.84285686575084,46.89383830814657,243.607,8.224056485087496,-15.550359927578516,-139.68680578807468,16.843304943565506,46.89376546331064,243.35,8.162678437692282,13.614451263394596,-140.23576806483828,16.843687652866905,46.89376052518325,243.125,21.52030165816881,23.6813436978668,28.26683893204805,19.746427950454496,14.007865112854825,21.929604963721353,20.300740561999078,29.77028564251421,24.63040812136101
190.9,8.13667250536962,-142.21037969277168,8.383720947042669,16.841642873224544,46.89509741480315,245.37599999999998,8.548652653462057,-141.24057142112036,-17.059354526104713,16.841655599336285,46.894868544526965,244.84099999999998,7.921685979506807,-134.72905449331736,-43.284054227809,16.841741045392432,46.89463264323939,244.835,7.083535320659133,-120.81525891417598,-73.13088715029555,16.841923626344222,46.89436415946659,244.34799999999998,6.813015186965556,-108.31752432319784,-93.95749404450329,16.842087625323778,46.894176816105634,244.4395,7.173035461115992,-93.75940007795842,-105.24397023481994,16.842278661347404,46.8940752898996,244.033,8.174835235764244,-73.38898275386953,-122.1152228018004,16.842545968004472,46.89392352647622,243.7945,8.387881773556607,-50.48417275548418,-131.30007066961122,16.842846531713793,46.89384090522744,243.697,8.224350737583793,-16.36494829131489,-139.58547055622864,16.843294254295422,46.893766374860135,243.27900000000002,8.168288689102576,12.802137030100846,-140.30552222849286,16.843676993438642,46.893759897717636,243.125,21.47884545892661,23.740503443874463,28.34925803056619,19.760139755342905,13.959122028579163,21.84514137458929,20.26764900221404,29.787690143790627,24.63640286779768
191.0,8.137245767873004,-142.15329313784318,9.195764950556411,16.841643622331247,46.89510471945214,245.481,8.543210273404396,-141.35063594865272,-16.212925299426562,16.841654155036913,46.89487615848429,244.84099999999998,7.950990497614832,-134.97428845856177,-42.52744307631543,16.841737827359616,46.894639449248494,244.835,7.098610549737053,-121.19355671467638,-72.52847311288383,16.841918662208293,46.89436957841318,244.34799999999998,6.814640046854786,-108.72529654095406,-93.3994774617913,16.842082274415812,46.89418183568,244.4395,7.133641297331827,-94.29790096548012,-104.77053677035255,16.842271594979064,46.89407954861618,244.033,8.155817035696654,-74.08612012358631,-121.69623702563223,16.842536819961165,46.893927295414855,243.7945,8.389668358630379,-51.27040440246273,-131.00709152770395,16.842836214548964,46.89384354068781,243.697,8.224545019216787,-17.17874399471749,-139.4796825516971,16.843283575426867,46.89376732646404,243.27900000000002,8.173705967775046,11.989220757394998,-140.37076200256877,16.843666326110238,46.89375931086072,243.125,21.438658713288287,23.79553281334089,28.433315943852143,19.78309040623744,13.908217856040961,21.758085401053343,20.232311417667514,29.80558290060827,24.642003682775545
191.1,8.137446723009694,-142.0919670897916,10.00764972283308,16.841644427069834,46.89511202266878,245.481,8.537075454821629,-141.45518774127495,-15.366368402572546,16.841652783077286,46.89488377359006,244.84099999999998,7.979867695916086,-135.21624086407894,-41.766657523996464,16.841734652388393,46.89464629280794,244.835,7.114535830885867,-121.57015760949021,-71.923104635262,16.841913720339672,46.89437502393611,244.34799999999998,6.817123708616112,-109.13433759677984,-92.83340816792477,16.842076906857773,46.894186927691614,244.4395,7.096236799999349,-94.83035927001178,-104.29683755554925,16.84226460790329,46.8940838097233,244.033,8.13473389091212,-74.7791268893725,-121.2741290837156,16.84252772612087,46.89393109243857,243.919,8.390475379745588,-52.055278918511064,-130.70981226306066,16.842825915192805,46.89384621482945,243.697,8.224639329986479,-17.991986673831555,-139.3694428312707,16.84327290381526,46.89376831811282,243.27900000000002,8.178930273709696,11.175636147250463,-140.4314257227556,16.843655650011712,46.89375876516716,243.125,21.399300794051065,23.846969904238247,28.51887177551397,19.80023825243866,13.869070625763776,21.668506584846007,20.19487773635683,29.823668465112004,24.647380524838177
191.2,8.137275370779689,-142.02650729569712,10.81935682031022,16.841645286052664,46.89511932428718,245.481,8.53024819771375,-141.55405495267627,-14.519845032536715,16.841651485712422,46.89489138839424,244.84099999999998,8.00831757441057,-135.45506435264832,-41.00181195971748,16.841731518475758,46.894653172888745,244.757,7.1313111641055675,-121.94503353913166,-71.3145036680307,16.841908801106552,46.89438049853651,244.34799999999998,6.820466172249536,-109.55233129694253,-92.24637303668028,16.84207142182048,46.89419220829901,244.4395,7.06082196911855,-95.35717136935087,-103.82308766294432,16.842257694918693,46.8940880712863,244.033,8.111585801410634,-75.46738406933082,-120.84837750651684,16.842518694606053,46.893934922238216,243.919,8.390302836902237,-52.838788129837894,-130.4082085134645,16.84281563375258,46.893848927871495,243.697,8.224633669892867,-18.804562447235764,-139.25439267589994,16.843262240954992,46.89376935303335,243.27900000000002,8.183961606906525,10.361170181788042,-140.4872549450108,16.843644962347778,46.89375826296178,243.078,21.360899641352503,23.89471219915101,28.605665479184513,19.796781422463688,13.855669544974885,21.576689690202,20.154982323362955,29.841964262086826,24.652209003952212
191.3,8.13673171118299,-141.9570448102938,11.630852942548078,16.84164619756,46.89512662400774,245.481,8.522728502080762,-141.64742080461517,-13.673264711370162,16.84165026053802,46.89489900371072,244.84099999999998,8.036340133098276,-135.6905012633522,-40.23275535020991,16.841728429002792,46.89466009084954,244.757,7.14893654939616,-122.31794064769095,-70.70265712246236,16.841903907708886,46.894386002332155,244.34799999999998,6.824667437755064,-109.93436413358307,-91.78280528385841,16.842066408672313,46.89419637826973,244.183,7.027396804689452,-95.87834786425344,-103.3492367186376,16.84225085588617,46.89409233375828,244.033,8.086372767192206,-76.15117348708176,-120.41928558696428,16.84250972171853,46.893938782085506,243.4485,8.389150730100324,-53.6208182483757,-130.1022152282256,16.84280537172145,46.8938516803991,243.172,8.224528038935949,-19.616576579550692,-139.13499836827737,16.84325158546474,46.893770427031185,243.27900000000002,8.188799967365531,9.545958992262909,-140.5382152458608,16.843634264904793,46.89375780455421,243.078,21.32330558695116,23.93881910701981,28.693837013392624,19.919867864250318,13.74151537720665,21.48263421750617,20.1128602796426,29.86038866042361,24.65670631812253
