Date,8,10,2019
Vehicle_order,SMART_TARGET,TESLA_MODELX,TESLA_MODEL3,TESLA_MODELS,MERCEDES_GLE450,JAGUAR_I_PACE,BMW_I3,AUDI_E_TRON,TOYOTA_RAV4,MAZDA_3,AUDI_A4,
Number_of_vehicles,11
ACC,1
Distance_setting,S
Time,Speed1,E1,N1,Lon1,Lat1,Alt1,Speed2,E2,N2,Lon2,Lat2,Alt2,Speed3,E3,N3,Lon3,Lat3,Alt3,Speed4,E4,N4,Lon4,Lat4,Alt4,Speed5,E5,N5,Lon5,Lat5,Alt5,Speed6,E6,N6,Lon6,Lat6,Alt6,Speed7,E7,N7,Lon7,Lat7,Alt7,Speed8,E8,N8,Lon8,Lat8,Alt8,Speed9,E9,N9,Lon9,Lat9,Alt9,Speed10,E10,N10,Lon10,Lat10,Alt10,Speed11,E11,N11,Lon11,Lat11,Alt11,IVS1,IVS2,IVS3,IVS4,IVS5,IVS6,IVS7,IVS8,IVS9,IVS10
609.7,8.116845133283693,-138.63170852925717,-40.09850474990184,16.84168983360882,46.89466129848547,245.1035,8.126438194478187,-133.1092430154438,-52.00056460393518,16.841762301039008,46.89455423486697,244.6395,8.170384189978408,-124.92069822312784,-69.69616444905195,16.84186975355212,46.89439505612192,244.6835,8.279332098914676,-109.22392440678492,-91.48830877118114,16.842075731273088,46.89419902737943,244.4395,6.634275365899907,-98.19676715443745,-103.4649117765745,16.842220432900707,46.89409129321653,244.209,6.907202403021701,-84.01514750956505,-114.17218459171495,16.842406528319312,46.893994977168205,243.989,8.754113592638046,-71.93626184888937,-124.90776111354558,16.842565031038998,46.893898406517145,243.7945,8.434505084392226,-53.207799566756655,-130.66257323061257,16.842810791475074,46.89384663976276,243.697,7.588094538252318,-31.579315023363137,-137.38785233441843,16.843094606863275,46.893786143283556,243.2165,7.044820164558329,-8.247832393035077,-142.93976396682575,16.84340076949741,46.893736201697294,243.44799999999998,5.31108495646645,9.631912513071457,-141.30118768143254,16.843635392812384,46.89375094132291,243.078,9.061276393685386,15.680398607913652,22.317204014604968,11.447212677266455,12.8343044937896,11.75009132653508,15.255470839560564,18.15157505026184,18.95150797290782,13.477054352189482
609.8,8.117105297649971,-138.87130861412516,-39.322368979873644,16.841686689505455,46.89466828012605,245.1035,8.12635805187404,-133.4268425195525,-51.254171604077214,16.841758133404127,46.89456094895986,244.6395,8.17777736854093,-125.31012345805031,-68.96184940425697,16.8418646433987,46.894401661568935,244.46200000000002,8.359375793448509,-109.74540607754622,-90.84758167165484,16.842068888235953,46.89420479096679,244.183,6.6837760137445885,-98.66463051068745,-102.99216933129287,16.842214293458998,46.89409554571714,244.209,6.847042262575368,-84.58454548981607,-113.7704343153573,16.842399056510157,46.89399859106688,244.173,8.771809528471746,-72.69070656874204,-124.51790156045423,16.84255513099165,46.89390191345417,243.919,8.471650922284745,-53.99918747100274,-130.34258390557164,16.842800406648305,46.89384951819014,243.697,7.628519833923869,-32.32374865928002,-137.2214768894782,16.84308483818434,46.893787639894846,243.2165,7.0709634367545435,-8.950479440376235,-142.90645253259325,16.84339154915448,46.893736501346496,243.50099999999998,5.338079732328863,9.100182504293826,-141.32899774858794,16.843628415293523,46.89375069116063,243.078,9.055691373799704,15.661322600410482,22.31644891732017,11.607279331756937,12.796440418859785,11.62022003776071,15.240833598431875,18.2424105851469,19.023261224022807,13.641841423812297
609.9,8.11757841464491,-139.1061510795895,-38.544763535997156,16.841683607832977,46.89467527498691,245.1035,8.125835386446782,-133.74066170475373,-50.5057691467468,16.841754015375713,46.89456768112858,244.6395,8.183683390824509,-125.69749837267634,-68.22769776236514,16.841859560150194,46.89440826554609,244.46200000000002,8.435073873202375,-110.26951681078891,-90.19746958757987,16.842062010699486,46.894210638975714,244.183,6.735842127673916,-99.13257959593732,-102.51426857993452,16.84220815289233,46.8940998446187,244.209,6.794489936337433,-85.14739925231194,-113.368368180514,16.842391670576166,46.89400220780683,243.92,8.772381610107539,-73.41562464313867,-124.11247415014601,16.8425456184017,46.8939055604301,243.919,8.507043689571475,-54.79192109188274,-130.01617864965098,16.84279000416264,46.893852454331295,243.554,7.669418632473142,-33.071274691527485,-137.04995679653516,16.843075028926062,46.89378918278424,243.2165,7.0978657401329945,-9.657077502029335,-142.86950497422637,16.84338227696517,46.893736833704025,243.50099999999998,5.365774562435081,8.56510768551489,-141.35533755449273,16.843621393883073,46.89375045422392,243.078,9.049743004768867,15.64376397169136,22.306165921740046,11.772516497882908,12.767569366976245,11.498075724145712,15.1998327998384,18.33274467902234,19.095137874264445,13.807369995945315
610.0,8.11826448426851,-139.33620783875574,-37.76570755345243,16.84168058895996,46.89468228289592,245.1035,8.12487019819641,-134.05147349840158,-49.75658885506302,16.841749936811187,46.89457442029425,244.6395,8.188102256829138,-126.08298613324371,-67.49394125078311,16.841854501665484,46.8944148659689,244.46200000000002,8.506426338176208,-110.79558789856024,-89.53838378941303,16.842055107438664,46.89421656770664,244.183,6.7904737076878225,-99.60148425156991,-102.03081000840122,16.842201999786383,46.894104193515005,243.98,6.749545424307938,-85.70394412809142,-112.9663394589087,16.842384367429258,46.894005824210225,243.92,8.75582983754545,-74.15323172917951,-123.69304167753576,16.842535939302778,46.89390933338693,243.919,8.540683386252375,-55.58590648825111,-129.6836221798079,16.842779585250813,46.893855445804995,243.554,7.710790933900098,-33.8220615529878,-136.8731715895303,16.843065176878213,46.893790773035356,243.2165,7.125527074693655,-10.365436593551001,-142.82899275585044,16.843372981667102,46.89373719812706,243.50099999999998,5.394169446785071,8.02698491733119,-141.38026048475368,16.843614332476527,46.89375023003255,243.078,9.044231259980757,15.62708901150307,22.286947471416703,11.941296514970373,12.748655095076682,11.353173974267706,15.172597840260018,18.422228741881963,19.169490749052446,13.97177344537868
610.1,8.119163506520765,-139.5614562404987,-36.985208956637905,16.841677633183632,46.894689303781796,245.1035,8.123462487122923,-134.3586433707466,-49.005978938293296,16.84174590603703,46.89458117231992,244.6395,8.191033966554826,-126.46590708683041,-66.75889565602898,16.84184947686317,46.89442147798749,244.81799999999998,8.573433188370165,-111.3228757387103,-88.87049658930323,16.84204818821126,46.89422257560958,244.44400000000002,6.84767075378644,-100.07198709485365,-101.5411348866815,16.842195825708544,46.89410859833156,244.19,6.712208726486784,-86.2546451763678,-112.56392894742943,16.842377140966793,46.89400944404797,243.92,8.722154210785444,-74.85526302026301,-123.26057519382654,16.842526727039985,46.89391322358974,243.919,8.572570012327526,-56.380601890557976,-129.34521072031595,16.842769157022072,46.893858489946595,243.554,7.752636738204826,-34.576172399341026,-136.69125948689256,16.843055281212056,46.89379240940488,243.2165,7.153947440436583,-11.075033631136892,-142.78450690330538,16.843363670124344,46.89373759829446,243.50099999999998,5.423264385378898,7.485522429255258,-141.40375136792983,16.843607227245187,46.893750018723004,243.17866666666663,9.038831763241426,15.61039064153471,22.260324444089388,12.112088063414676,12.739987015615068,11.22204207524962,15.11364792487052,18.5102556598916,19.246763729107197,14.134227100404106
610.2,8.120275481401682,-139.78186457745608,-36.20328876542548,16.841674740920073,46.89469633745547,245.1035,8.121612253226324,-134.66238760353883,-48.25391483037901,16.841741920215128,46.89458793742661,244.985,8.19247852000157,-126.8455048892037,-66.0249714750161,16.841844495668234,46.89442807991854,244.81799999999998,8.636094423784165,-111.85179884430329,-88.19563838364842,16.84204124752541,46.8942286462194,244.44400000000002,6.9074332659697015,-100.54317059861604,-101.04586444065859,16.842189642698873,46.89411305348025,244.19,6.682479842874029,-86.79979288054889,-112.16067633279806,16.84236998737695,46.89401307146076,243.92,8.671354729827527,-75.56382279987238,-122.81529477562805,16.84251742910843,46.89391722905882,243.919,8.60270356779688,-57.1758193748725,-129.0010186696917,16.842758721942417,46.89386158608683,243.554,7.79495604538728,-35.33350036367374,-136.50389353113815,16.84304534332992,46.89379409483391,243.609,7.183126837361747,-11.788585890667257,-142.73645419729417,16.843354306679984,46.89373803054708,243.50099999999998,5.453059378216532,6.941011802616737,-141.42589841947438,16.843600082015268,46.89374981950172,243.2793333333333,9.033427712659355,15.59630229957159,22.22514072220356,12.284882693609491,12.739945938811006,11.074331921852453,15.063352640481277,18.59663606402198,19.324417586929922,14.297776471715462
610.3,8.121600408911263,-139.9978007213141,-35.420315074141534,16.841671907341958,46.89470338060579,245.019,8.11931949650661,-134.96269840820565,-47.50084932704723,16.841737979447693,46.894594711541224,244.985,8.192435917169371,-127.22064823694882,-65.29027270059042,16.841839572925974,46.894434688817356,244.81799999999998,8.694410044418204,-112.3812720587871,-87.51300302169943,16.842034299620874,46.894234786787756,244.44400000000002,6.9697612442376125,-101.01605239203217,-100.54465478430185,16.842183437403747,46.89411756205438,244.19,6.660358773469671,-87.34005677943766,-111.75659552832295,16.842362897873855,46.894016706323434,243.92,8.6034313946717,-76.24651118941145,-122.41249984336015,16.84250847066893,46.893920852354576,243.919,8.631084052660444,-57.97116987121064,-128.65098193094474,16.842748285117338,46.89386473480229,243.67,7.837748855447461,-36.09411497578841,-136.311225991977,16.843035362319416,46.89379582795272,243.609,7.213065265469153,-12.504914444561946,-142.6847805166249,16.84334490680427,46.893738495371764,243.582,5.48355442529797,6.3936283402879175,-141.44683601278527,16.84359289908714,46.89374963116,243.38,9.028268599872364,15.583132654184821,22.182272678113126,12.458638952694747,12.749023936572721,10.972187428771534,14.973583351359824,18.68102044589847,19.403628400578363,14.461428380497008
610.4,8.1231382890495,-140.20893835435922,-34.63615133849275,16.841669136731323,46.89471043446101,245.019,8.11658421696378,-135.2592435739295,-46.74620424739648,16.841734088094086,46.89460149986476,244.835,8.19090615805822,-127.59305918180479,-64.55678428037238,16.841834686039117,46.894441286828574,244.81799999999998,8.748380050272285,-112.9109615760446,-86.8206562879773,16.842027348877945,46.89424101471363,244.44400000000002,7.034654688590168,-101.49057509778984,-100.03737761861584,16.84217721057608,46.89412212520814,244.19,6.64584551827371,-87.8757727217812,-111.35114896754192,16.84235586805039,46.8940203534716,243.92,8.518384205317966,-76.9199459746207,-122.01169939686785,16.842499633657965,46.89392445770917,244.1325,8.657711466918219,-58.76624494555289,-128.2955074678226,16.84273785190643,46.89386793243217,243.67,7.881015168385367,-36.857963153435065,-136.11285845932818,16.843025338877105,46.89379761234518,243.609,7.243762724758793,-13.224706736980355,-142.6290192763714,16.84333546147635,46.89373899696562,243.582,5.514749526623214,5.843109612207278,-141.4662886516941,16.84358567501713,46.893749456176,243.38,9.022968590459351,15.572414310363154,22.129588865886202,12.63455992106115,12.766651942719285,10.876403620857284,14.873284158926328,18.76282206979128,19.483680831081212,14.625617723258008
610.5,8.124889121816398,-140.41511414753452,-33.850621404485736,16.84166643123142,46.89471750060571,245.019,8.113406414597844,-135.5519245365585,-45.98985007010028,16.841730247447696,46.89460830356228,244.835,8.187889242668133,-127.96237747009182,-63.823784558028564,16.84182983973502,46.89444788044376,244.81799999999998,8.798004441346352,-113.44089896124764,-86.12208447673125,16.842020394882418,46.89424729863649,244.44400000000002,7.102113599027287,-101.96699335674307,-99.52469006684281,16.842170958874398,46.89412673703038,244.19,6.638940077286147,-88.407434574375,-110.94406894448088,16.842348891425893,46.894024015313406,244.08599999999998,8.416213161766446,-77.58413399569795,-121.6127737897415,16.842490917985785,46.89392804619885,244.1325,8.682585810570174,-59.56049120924042,-127.93483578746029,16.842727429571422,46.89387117681304,243.67,7.924754984200951,-37.62515574522377,-135.90865821236392,16.843015271548406,46.89379944920515,243.609,7.275219215230638,-13.947543720028289,-142.56914614492226,16.8433259761951,46.89373953554753,243.582,5.546644682192223,5.289761277193711,-141.484325191388,16.843578413816182,46.89374929393039,243.38,9.017564315342844,15.563730222510259,22.070344787142524,12.810387813756135,12.792042655525739,10.787426703870432,14.763055658130472,18.84129693028981,19.565132919840146,14.790251440450813
610.6,8.126490930674642,-140.61632851876396,-33.06377901614807,16.841663790836773,46.89472457855645,245.019,8.110250228457828,-135.84113457409245,-45.232608114750995,16.841726452347814,46.894615115245706,244.835,8.18335994817984,-128.32949969918067,-63.090141687926604,16.841825022248255,46.89445447984431,244.595,8.843270979847668,-113.97059082965694,-85.41674771911394,16.84201344410864,46.89425364341264,244.209,7.170859492984477,-102.44681390055125,-99.00426095234738,16.842164662526933,46.89413141849097,244.19,6.6381914655800855,-88.93553947705324,-110.53505860225658,16.842341961476752,46.894027694519174,244.08599999999998,8.301835662968772,-78.23910916312343,-121.2155754755624,16.842482323207406,46.893931619150884,244.1325,8.704917720959992,-60.35363449778508,-127.56918651520084,16.84271702170998,46.893874465969255,243.67,7.969320953034887,-38.39546039719174,-135.698975274155,16.843005163382326,46.89380133538405,243.1605,7.307836600111196,-14.67356392339182,-142.50558726481268,16.843316449142687,46.89374010728418,243.582,5.578627696993328,4.733626444458084,-141.50105592774537,16.843571116049983,46.89374914343096,243.38,9.012646146081442,15.555104701632334,22.005780785237604,12.983476192057154,12.827263160198932,10.705679274457683,14.643268349632828,18.91645733587663,19.64766711011759,14.955554009486072
610.7,8.127581739086915,-140.81256306454156,-32.275646772336074,16.841661215788868,46.894731668109934,245.019,8.10757979759278,-136.1265900152308,-44.473821819380724,16.841722706516865,46.89462194082107,244.835,8.177293051774095,-128.69368731991108,-62.35611423039471,16.841820243270295,46.89446108270438,244.595,8.88416742798332,-114.4997909153042,-84.7048531596014,16.84200649978818,46.89426004717875,244.209,7.239613887897009,-102.92949376865809,-98.4765063812227,16.842158328658563,46.89413616584688,244.19,6.642148698228643,-89.46079047233684,-110.12349310887268,16.842335068977427,46.89403139670951,244.08599999999998,8.180169107876893,-78.88493097736793,-120.81993065813255,16.842473848542035,46.893935178128594,244.1325,8.723917835431273,-61.14513827239322,-127.19892827196257,16.842706635362724,46.89387779658495,243.67,8.015065725027705,-39.169148040015024,-135.48340699043413,16.842995010823632,46.893803274503895,243.47099999999998,7.342016742626876,-15.402372968082359,-142.4370090691803,16.843306885494272,46.893740724171494,243.582,5.610086376014737,4.174545263517446,-141.5161048158005,16.84356377962093,46.8937490080604,243.38,9.007708754332109,15.547573730802519,21.93556690731448,13.154194524732796,12.870684237981616,10.631917903084725,14.514629088905739,18.987285114899453,19.731681123928368,15.120949440308394
610.8,8.128161547053217,-141.00381202897017,-31.48627289298133,16.84165870616324,46.8947387688324,245.019,8.105395122002701,-136.40817209778203,-43.713812980446974,16.841719011513277,46.89462877739368,244.835,8.169688553450893,-129.05647130525958,-61.623449206317346,16.841815482711255,46.89446767330883,244.595,8.920693785753311,-115.02792308827752,-83.98662854488715,16.84199956948119,46.894266507886144,244.511,7.308376783764879,-103.41506275033638,-97.94042402154206,16.84215195687839,46.89414098811445,244.19,6.6508117752318165,-89.98353067749758,-109.70902535201478,16.842328209425432,46.894035125006816,244.08599999999998,8.051213496490822,-79.52168305694757,-120.42564095523588,16.842465492892412,46.89393872491654,244.1325,8.73958615398401,-61.934698896172534,-126.82428740479617,16.842696274514072,46.893881166624034,243.75599999999997,8.061989300179405,-39.94613737737769,-135.26182960810527,16.842984814939133,46.893805267677905,243.47099999999998,7.3777596427776775,-16.134786929785772,-142.3640226991526,16.84329727454106,46.893741380712044,243.577,5.64102071925645,3.6127119346194445,-141.52953402123788,16.843556407077372,46.89374888725952,243.38,9.003071353473793,15.541844925918891,21.859520940022875,13.321227468413351,12.922494442547071,10.566409243692664,14.377614863067414,19.053449799423237,19.816528637506174,15.287506255380515
