Date,8,10,2019
Vehicle_order,SMART_TARGET,BMW_I3,MERCEDES_GLE450,JAGUAR_I_PACE,TESLA_MODELX,TESLA_MODEL3,TESLA_MODELS,MAZDA_3,AUDI_A4,
Number_of_vehicles,9
ACC,1
Distance_setting,L
Time,Speed1,E1,N1,Lon1,Lat1,Alt1,Speed2,E2,N2,Lon2,Lat2,Alt2,Speed3,E3,N3,Lon3,Lat3,Alt3,Speed4,E4,N4,Lon4,Lat4,Alt4,Speed5,E5,N5,Lon5,Lat5,Alt5,Speed6,E6,N6,Lon6,Lat6,Alt6,Speed7,E7,N7,Lon7,Lat7,Alt7,Speed8,E8,N8,Lon8,Lat8,Alt8,Speed9,E9,N9,Lon9,Lat9,Alt9,IVS1,IVS2,IVS3,IVS4,IVS5,IVS6,IVS7,IVS8
638.6,8.172681594003969,-133.07910152294642,52.80260898488927,16.841762696564608,46.89549697983154,245.386,8.125955161710902,-123.14418999372153,74.07523864966281,16.84189306541994,46.895688335339344,245.75099999999998,8.355496793580551,-109.1353718086632,94.78378088775963,16.842076893286542,46.89587461666318,245.8455,8.031053755530428,-91.19407103807876,112.45775973067974,16.842312324355827,46.89603360091898,245.737,7.804174445739089,-71.6345726493972,126.14913466892608,16.84256898989414,46.89615676011673,245.91299999999998,7.9362534942734255,-45.40333288072063,138.7402223738419,16.842913204001373,46.89627002180649,245.752,7.968821189771159,-16.993361894940346,145.83925075699318,16.843286008065757,46.896333880304596,245.61900000000003,8.400103414900942,12.175958858631153,145.9107209212273,16.84366877654298,46.896334523206285,245.378,8.506810961019438,49.326621780061686,138.23586451436208,16.84415627855903,46.89626548491304,245.20375,19.41865738528604,22.169754831561608,20.579834841072195,19.465144169047445,23.773497455162182,24.74391865512969,24.336657332919035,33.15693619957345
638.7,8.172833759170116,-133.37299485512094,52.03895131206124,16.84175884000915,46.89549011043628,245.386,8.122876275318912,-123.53657271113948,73.3624470777401,16.84188791645756,46.895681923504256,245.75099999999998,8.364635306287424,-109.66501034627537,94.1349484222678,16.842069943212582,46.89586878016493,245.8455,8.040807747783884,-91.80643543960777,111.933669998098,16.842304288728553,46.89602888652971,245.737,7.803947313147478,-72.30418076415954,125.74901227679192,16.842560203097882,46.8961531608615,245.91299999999998,7.9355258199983325,-46.14824336412304,138.46670497731904,16.842903429065107,46.89626756141202,245.752,7.96175466341544,-17.782050615569513,145.73154627854225,16.843275658658474,46.89633291146128,245.61900000000003,8.391712421342781,11.339109676515882,145.97364765909975,16.843657795159842,46.896335089256546,245.378,8.512027128815314,48.52406678196647,138.51423529424363,16.844145747194347,46.89626798896556,245.187125,19.423330022248486,22.146272426710507,20.608871390369615,19.489715448346697,23.76076706759199,24.742145499511274,24.289415662478515,33.147559715901906
638.8,8.173354506184994,-133.66225298696108,51.273456927541325,16.841755044278163,46.89548322451906,245.386,8.120156111606933,-123.92524184001688,72.64787437219209,16.841882816225983,46.89567549564719,245.75099999999998,8.373817899986491,-110.19113448910713,93.48181141722289,16.842063039255553,46.895862904945666,245.8455,8.051577819047887,-92.41685221529465,111.40579520672621,16.842296278658598,46.89602413809239,245.93099999999998,7.804732983392317,-72.97181227775592,125.34510908329348,16.842551442239174,46.8961495275965,245.548,7.934567688286322,-46.89133369541213,138.1893648109379,16.842893678013414,46.89626506663026,245.8645,7.954774420125822,-18.569432827071843,145.619530077518,16.843265326395596,46.89633190383234,245.61900000000003,8.38276062032674,10.502906199030836,146.0320443866724,16.84364682224983,46.896335614557636,245.37,8.516536342338918,47.71944051164992,138.78824719496077,16.84413518864981,46.89627045380827,245.1705,19.428193374765392,22.1214702864173,20.638027689618188,19.515066829416718,23.748618621206695,24.740755768279453,24.24251453246284,33.13673645568262
638.9,8.174243835048598,-133.94682928226464,50.50614590032384,16.841751309983618,46.895476322260464,245.386,8.117794670574964,-124.31021336507959,71.93157594656546,16.84187776451547,46.895669052266605,245.75099999999998,8.383044574677754,-110.71373507854777,92.82456656673232,16.842056181535643,46.89585699277478,245.8455,8.063363969322436,-93.02534786525057,110.87411376917605,16.842288293798227,46.89601935541282,245.93099999999998,7.806531456473622,-73.63747680206151,124.93758983816984,16.84254270719188,46.89614586180374,245.726,7.933379099137395,-47.63238657904817,137.9081367443679,16.84288395369771,46.896262536875355,245.8645,7.947880459902308,-19.35557641968072,145.50348282886912,16.843255010386233,46.89633085994258,245.61900000000003,8.373248011852823,9.667373353233607,146.08567604987792,16.843635858140047,46.89633609699514,245.37,8.520338601590257,46.91273036788581,139.05741812011033,16.84412460276007,46.89627287510455,245.165125,19.43326593267907,22.095461237485146,20.667145867414227,19.541318774570023,23.73715396365404,24.73955784462496,24.19603753388413,33.124470239938034
639.0,8.17550174576093,-134.22668949090354,49.737031170392285,16.841747637574972,46.89546940377684,245.758,8.11579195222301,-124.69141757130475,71.2138947178391,16.84187276224083,46.895662596447174,245.75099999999998,8.392315330361216,-111.23281385952065,92.16316484715506,16.842049370029944,46.89585104321123,246.013,8.076166198607535,-93.63156542210008,110.33837703005564,16.84228033883167,46.89601453625423,245.93099999999998,7.809342732391381,-74.30098293763363,124.5263661328227,16.842534000467598,46.89614216268792,245.726,7.931960052551547,-48.37171629836411,137.62305086374812,16.842874251993884,46.89625997241791,245.8645,7.941072782744893,-20.140543481548647,145.38286096848125,16.843244709815668,46.896329774902426,245.64700000000002,8.363174595921025,8.83267706479817,146.13505224221785,16.843624905007815,46.89633654115303,245.37,8.523433906569327,46.10420755839987,139.32217379068908,16.844113993083994,46.89627525668392,245.15975,19.438876747722468,22.06785905562306,20.696352996411342,19.56843230031501,23.725971858260717,24.738644151181106,24.150231969576996,33.11087073277908
639.1,8.177128238321988,-134.5017869235514,48.96613285136505,16.84174402766488,46.89546246924915,245.758,8.114147956551069,-125.06907373629645,70.49450502018956,16.841867806524636,46.8956561252594,245.75099999999998,8.401630167036862,-111.74819595688909,91.49755280793129,16.842042607033225,46.89584505577424,245.763,8.089984506903159,-94.23581932243263,109.79864596980958,16.842272409632795,46.89600968116519,245.93099999999998,7.813166811145594,-74.96263203691595,124.11139624925728,16.842525318111907,46.89613842987378,245.726,7.9303105485287855,-49.10914870481813,137.33442444509836,16.842864575187154,46.89625737611197,245.8645,7.934351388653583,-20.924180907249642,145.25823650945844,16.843234426692973,46.89632865385735,245.64700000000002,8.352540372531363,7.998833058513558,146.1796691454385,16.843613963059486,46.89633694249928,245.37,8.525822257276129,45.29386451600604,139.5825504525181,16.84410335952228,46.896277598872395,245.154375,19.44461701917547,22.039084672108945,20.725407495451694,19.59636007842637,23.71566085541995,24.73805387537993,24.104936817786,33.095811268571374
639.2,8.179123312731774,-134.77208854227317,48.19347130625762,16.84174048068688,46.89545551886058,245.758,8.112862683559134,-125.44305463712573,69.77350447643452,16.84186289903635,46.89564963958145,245.459,8.410989084704719,-112.25997451621012,90.82780441956434,16.8420358913232,46.895839031129185,245.763,8.10481889420935,-94.83778880631777,109.25465601441343,16.84226451041071,46.896004787765754,245.93099999999998,7.8180036927362675,-75.62222275985937,123.69255591131115,16.84251666276683,46.896134662243405,245.726,7.928430587069102,-49.84470533003458,137.04207619407154,16.842854922994988,46.896254746326704,245.8645,7.927716277628374,-21.706530759835566,145.12938427031912,16.8432241604662,46.89632749478177,245.64700000000002,8.341345341683809,7.1660617795591035,146.2197665624586,16.8436030351878,46.896337303191004,245.37,8.527503653710664,44.481670923112105,139.83852123145522,16.844092701677095,46.89627990142828,245.149,19.45061133339586,22.00897829631409,20.754369682771,19.625092701137834,23.706000124737482,24.737750103956515,24.060423535869536,33.079089405202716
639.3,8.181486968990287,-135.0375663492957,47.419063515464565,16.841736997008365,46.89544855276385,245.5545,8.111936133247214,-125.81344205106949,69.05076635932457,16.841858038702863,46.895643138273364,245.459,8.420392083364767,-112.76794439256979,90.15433131397208,16.84202922559184,46.89583297297889,245.763,8.120669360526083,-95.43749969187364,108.70692904230036,16.842256640826626,46.8959998607504,245.5765,7.823853377163402,-76.28016561988949,123.2699358567195,16.84250802904551,46.896130860613034,245.726,7.926320168172504,-50.5784547557079,136.74626760845314,16.842845294517428,46.89625208541439,246.033,7.921167449669262,-22.48783007469717,144.99633544885276,16.843213908024893,46.89632629795632,245.64700000000002,8.329589503378378,6.334375282841737,146.25560130140613,16.843592121550948,46.8963376255383,245.37900000000002,8.528478095872929,43.667681298652546,140.0895651161153,16.84408202026385,46.89628215966484,245.149,19.45670007145443,21.978129418409168,20.783175013412727,19.65406780089582,23.697375817681408,24.737500665395487,24.016950444364,33.06086875156514
639.4,8.183755185998857,-135.29809136398066,46.64306045844457,16.841733578321865,46.895441572317075,245.5545,8.111411463473607,-126.18029488370476,68.32646483160433,16.841853224751198,46.89563662290178,245.459,8.429535213813239,-113.27229274117133,89.47683189866169,16.842022607383242,46.895826878610364,245.763,8.136401894685301,-96.03498995344108,108.15541964481008,16.842248800382222,46.89599489971067,245.78599999999997,7.830134602171078,-76.93611044330504,122.84353697278658,16.842499421543017,46.89612702499063,245.861,7.923774397535378,-51.31024177785697,136.44697569435849,16.84283569179111,46.896249393168205,245.6,7.915127524945773,-23.267951901389555,144.85912994853192,16.843203671034935,46.89632506373992,245.64700000000002,8.317432754876892,5.503784081685144,146.28693691913176,16.843581222286893,46.89633790741427,245.37900000000002,8.529165965950854,42.85218790464763,140.335917122684,16.844071319117695,46.89628437569615,245.149,19.462848220167263,21.946046916403493,20.81213006262809,19.683624169681142,23.68960839050032,24.737287978912462,23.97439091815223,33.041335808046696
639.5,8.1854639426588,-135.55368737889378,45.86523655922389,16.841730224315153,46.89543457549113,245.5545,8.111331832096619,-126.54345482808809,67.60021472925462,16.841848459258713,46.89563009000203,245.782,8.438114526846348,-113.77265528931906,88.79549206616215,16.8420160414775,46.895820749695794,245.763,8.15088248551893,-96.63010271731841,107.59981977327203,16.84224099113605,46.89598990187556,245.78599999999997,7.836266105503385,-77.59007858863446,122.41359803450956,16.842490839979074,46.89612315752407,245.861,7.920588380854117,-52.04024572289566,136.14398083972264,16.842826112462856,46.89624666761263,245.6,7.910019123627423,-24.04690267751427,144.71803186877585,16.84319344941185,46.896323794508284,245.693,8.30503499344117,4.674146369561568,146.31355303465858,16.843570335534803,46.89633814683649,245.37900000000002,8.529987646132371,42.03517519348062,140.57757678307024,16.84406059803461,46.896286549517995,245.149,19.46899748103113,21.913305994022398,20.84074857485161,19.713956454410074,23.682346558320702,24.73741171449727,23.932581388501795,33.02057356044777
639.6,8.18661323897012,-135.80437170193562,45.08566832978725,16.84172693476113,46.89542756297426,245.5545,8.111697239116253,-126.90310524254808,66.87219056202599,16.841843739819318,46.895623541143884,245.782,8.446130022464086,-114.26925123048963,88.11010370773101,16.842009524998293,46.89581458436319,245.763,8.164111133026957,-97.22304754280586,107.04006738108377,16.84223321033821,46.89598486668692,245.78599999999997,7.842247887160316,-78.24231459462017,121.9798701101886,16.84248228114478,46.896119255974114,245.861,7.9167621181287275,-52.768333857764176,135.83728621196795,16.842816558274432,46.89624390877617,245.6,7.905842245714212,-24.824673393960254,144.57249698461948,16.843183243273856,46.896322485365864,245.693,8.292396219071232,3.8456633931227833,146.33597100324738,16.843559463935495,46.89633834849478,245.37900000000002,8.530943136417466,41.21661262962552,140.8144719331205,16.8440498566139,46.89628868048121,245.149,19.475191876300933,21.879541685519303,20.86916091531329,19.744930177680548,23.676041961713032,24.737590377419163,23.89176907193543,32.998435418109594
639.7,8.187203074932821,-136.05013863823135,44.304393514308174,16.84172370973451,46.89542053510599,245.5545,8.112507684532504,-127.25921226633415,66.1423097087803,16.84183906687735,46.89561697558412,245.782,8.453581700666472,-114.76190459830283,87.42102583035994,16.8420030602547,46.89580838584193,245.763,8.176087837209412,-97.81348642886095,106.47634519525587,16.84222546242405,46.89597979578845,245.78599999999997,7.848079947141888,-78.8926663478893,121.54212682845736,16.842473747036212,46.896115318304474,245.861,7.9122956093592,-53.4947680260633,135.5274222620097,16.84280702578985,46.896241121430435,245.6,7.902596891206138,-25.601300070577796,144.42301841479494,16.843173052148295,46.89632114074849,245.693,8.279516431767048,3.0183184053580026,146.35369593786768,16.843548607269213,46.896338507937394,245.4035,8.532032436806151,40.39633972439175,141.04602727567698,16.844039092749586,46.896290763410825,245.137875,19.481349506034103,21.845186494768605,20.8973603236944,19.776151512567047,23.670697383426123,24.73801934584657,23.85191526384817,32.97477616656468
639.8,8.187233450546893,-136.2909800068143,43.521448341036646,16.84172054934265,46.89541349221221,245.5545,8.113763168345374,-127.61158577403162,65.41044725707492,16.841834442927684,46.89561039219912,245.782,8.460469561453495,-115.25079837081194,86.72810177504026,16.841996644845636,46.895802152722815,246.002,8.18681259806628,-98.40159281242609,105.9088752731768,16.84221774511768,46.895974691177656,245.78599999999997,7.853762285448086,-79.54114397309476,121.10089109121284,16.8424652375205,46.896111349218856,245.861,7.907188854545541,-54.21958435337099,135.21390455955662,16.842797514535054,46.896238301217785,245.7445,7.900283060103205,-26.376802079869538,144.26958430388657,16.843162875780948,46.89631976054949,245.693,8.26639563152863,2.192293287800989,146.3669738291688,16.843537767922662,46.89633862737714,245.4035,8.533255547298426,39.574586097992615,141.2727961069242,16.8440283094548,46.89629280328392,245.12675,19.4874060005554,21.810007590914626,20.925650707749504,19.807939307982064,23.66581322828796,24.738850598964106,23.813230467009305,32.949586151621354
639.9,8.186704365812348,-136.52690871466214,42.7368518349052,16.841717453416177,46.89540643446404,245.5545,8.115463690554861,-127.96043816998665,64.67673996169842,16.84182986518309,46.895603792219035,245.782,8.466793604825156,-115.73560571382299,86.03156686305245,16.84199028305991,46.89579588712267,245.71900000000002,8.196285415597563,-98.98740816105831,105.33731879744013,16.84221005787495,46.89596954980673,245.78599999999997,7.8592949020789185,-80.1877716206868,120.655894428141,16.84245675228075,46.89610734630225,245.861,7.9014418536877455,-54.942592618393924,134.89699057253972,16.84278802700619,46.896235450454256,245.7445,7.898900752405408,-27.151391050000907,144.11219873761894,16.843152711394776,46.896318344805614,245.693,8.25303381835598,1.3675752319459702,146.37597332439515,16.843526945727756,46.89633870833107,245.4035,8.534612467894284,38.751374142812736,141.4948316682466,16.844017507023402,46.89629480057943,245.115625,19.49341345359202,21.774345594815493,20.95337479912281,19.840356607898322,23.661834739858428,24.739620537829836,23.775921014431887,32.92290543206711
640.0,8.185615820729176,-136.75793355997808,41.95065275896156,16.841714421839644,46.89539936230016,245.373,8.117609251160973,-128.30566086851812,63.94131569369763,16.841825335068464,46.895597176794126,245.5345,8.472553830781457,-116.21650857323084,85.33162605309558,16.841983972509972,46.895789590885144,245.71900000000002,8.204506289803259,-99.57078353587916,104.76158980697821,16.84220240265028,46.895964370902426,245.78599999999997,7.864677797034383,-80.83275067623009,120.20708737004016,16.842448288674312,46.89610330910968,246.07299999999998,7.895054606785821,-55.66384711865336,134.57643104100657,16.842778562490743,46.89623256689765,245.7445,7.8984499681127485,-27.92476331088761,143.9505753764536,16.84314256297462,46.89631689094115,245.77200000000002,8.239430992249094,0.5443013678699752,146.3804819829709,16.843516142483963,46.896338748888205,245.4035,8.536103198593732,37.926700886780026,141.71212167011763,16.84400668541637,46.89629675518679,245.1045,19.499506613817264,21.73810516358601,20.98054307070916,19.873162179990768,23.658796135311388,24.740652077840235,23.73982485617496,32.894558967031664
640.1,8.183967815297386,-136.98407400629222,41.16289852867365,16.841711454357647,46.89539227614705,245.373,8.120199850163695,-128.64711361328696,63.20382467825093,16.841820854424284,46.895590542778024,245.5345,8.47775023932239,-116.69334451894619,84.6280288715447,16.841977715327285,46.895783261757146,245.71900000000002,8.211475220683358,-100.15158350644415,104.18185118693758,16.842194781220826,46.89595915592996,246.0105,7.86991097031447,-81.47589768422975,119.7547339943347,16.842439849108544,46.89609924001661,245.703,7.888027113839768,-56.38343665724838,134.25250085922838,16.842769119823426,46.89622965302075,245.7445,7.898930707225228,-28.69709475012841,143.78495179657838,16.84313242821244,46.896315401093176,245.77200000000002,8.225587153207993,-0.2774997411610536,146.38073503517117,16.843505358566105,46.8963387511645,245.4035,8.537727739396761,37.10060851359782,141.92426542232278,16.84399584518727,46.89629866350165,245.221625,19.505388201568174,21.701369366872104,21.00746185896376,19.906467827932133,23.65646873985673,24.741843925639962,23.705144373540588,32.864627802760374
640.2,8.18240013605577,-137.20533726234456,40.37363187167521,16.841708550875584,46.89538517638909,245.373,8.123007377309152,-128.9849206936706,62.46445088360654,16.841816421619598,46.8955838918256,245.5345,8.482794202475143,-117.16595829897786,83.92131284228208,16.841971513549108,46.895776904573914,245.71900000000002,8.218109650639011,-100.73003846293679,103.5979450632944,16.842187190563344,46.89595390346919,246.0105,7.87540362919125,-82.11724798030234,119.29831578654353,16.842431433119767,46.896095134358816,245.703,7.881144228969503,-57.10136178840768,133.92518329626066,16.842759698996947,46.89622670867303,245.7445,7.899825728092932,-29.468394222214023,143.61557893716483,16.843122306992033,46.896313877518985,245.77200000000002,8.21152442544291,-1.097961304377404,146.37655661315222,16.84349459222616,46.896338713577975,245.435,8.538941702730359,36.27331996974083,142.13162177297818,16.84398498926166,46.896300528752,245.33875,19.511162998297984,21.664569008292627,21.033364045337244,19.9402010421342,23.65513968199905,24.74326996827918,23.671712912288626,32.83338761936244
