Date,8,10,2019
Vehicle_order,SMART_TARGET,MAZDA_3,TOYOTA_RAV4,AUDI_E_TRON,BMW_I3,MERCEDES_GLE450,JAGUAR_I_PACE,TESLA_MODELS,
Number_of_vehicles,8
ACC,1
Distance_setting,S
Time,Speed1,E1,N1,Lon1,Lat1,Alt1,Speed2,E2,N2,Lon2,Lat2,Alt2,Speed3,E3,N3,Lon3,Lat3,Alt3,Speed4,E4,N4,Lon4,Lat4,Alt4,Speed5,E5,N5,Lon5,Lat5,Alt5,Speed6,E6,N6,Lon6,Lat6,Alt6,Speed7,E7,N7,Lon7,Lat7,Alt7,Speed8,E8,N8,Lon8,Lat8,Alt8,IVS1,IVS2,IVS3,IVS4,IVS5,IVS6,IVS7
496.1,8.203557209575063,60.281190201990846,131.88545837582043,16.84430002765449,46.89620836056074,245.0135,8.06319724865275,43.622647704732884,139.7896652561865,16.844081429319676,46.89627946194994,245.149,8.029620885133715,26.12805640767311,143.8176504492754,16.843851860104575,46.89631569523017,245.35299999999998,8.117045443178581,9.063559909844672,145.37190960813533,16.843627934720978,46.896329676390714,245.37,8.134613162193991,-7.582481655796389,147.37710428485912,16.84340950042709,46.89634771389015,245.5345,8.27219590224866,-28.23657095306335,143.5164465978984,16.84313847134227,46.89631298578537,245.77200000000002,8.495000889,-43.579483610015465,138.6740842577163,16.842937137092377,46.89626942686863,245.752,9.246674560258512,-62.748266432413985,130.61388259810906,16.842685598639594,46.89619692224622,245.6285,14.455935862554064,14.671806896537252,12.553749028841846,12.237820444483132,16.550193882679586,11.48424268239554,16.384339203277243
496.2,8.203592332359714,61.02837564626603,131.5437221367853,16.84430983244347,46.89620528651147,245.0135,8.069583848198487,44.39460730279465,139.553733812164,16.84409155920245,46.89627733965561,245.149,8.026552619201771,26.918810052424067,143.6810362969985,16.843862236608402,46.89631446633319,245.35299999999998,8.111625439365737,9.871367504235039,145.32035987168018,16.843638535011788,46.89632921268096,245.37,8.131987709949161,-6.7529286787598535,147.37769284546658,16.843420386067265,46.896347719184476,245.5345,8.266226086019193,-27.42159804986569,143.67188121582996,16.843149165658392,46.8963143839797,245.77200000000002,8.484921132,-42.77201264770671,138.95263257264745,16.842947732965804,46.89627193251814,245.752,9.208681723675555,-61.92385737486558,131.02715679808006,16.842696416779727,46.896200639807034,246.054,14.479214959783347,14.676060050917112,12.544698472757178,12.2225548957459,16.53664596213568,11.454788463976008,16.316837546238038
496.3,8.20357178074967,61.7735162149944,131.1976399083395,16.84431961039899,46.89620217336835,245.0135,8.075699656842867,45.16613856143072,139.3137838713267,16.844101683464427,46.89627518121336,245.1705,8.023955432367183,27.708851832838683,143.54005787026856,16.843872603770937,46.89631319817787,245.35299999999998,8.105874666652706,10.678290967957503,145.26450531478247,16.84364912370078,46.89632871024768,245.37,8.130021378025308,-5.976242297843453,147.39820381516512,16.84343057797629,46.89634790368857,245.5345,8.261258940347481,-26.605489449595503,143.8220794336896,16.843159874877465,46.896315735070594,245.693,8.474784937,-41.964243471356845,139.22593091427802,16.842958332752485,46.89627439094213,245.752,9.171584450906456,-61.10006072524642,131.43417735860916,16.842707226883665,46.89620430111394,245.82299999999998,14.50179492710384,14.681075246749725,12.536260230384475,12.26209678631744,16.475302957990998,11.427035366491694,16.251229676402314
496.4,8.203495554744936,62.51656646738039,130.8471930783868,16.844329360924757,46.89619902096396,245.077,8.081544674585885,45.93709139493897,139.06986904344558,16.844111800136133,46.896272987105405,245.1705,8.021829324629946,28.497657705415612,143.39513603337514,16.843882954715518,46.89631189455007,245.35299999999998,8.099793125039497,11.484313264282635,145.2046370620532,16.84365970056438,46.896328171709655,245.378,8.128714166422434,-5.165226505752816,147.43738030669232,16.84344122036602,46.89634825609622,245.4905,8.257294465233523,-25.79018136001511,143.9664662154161,16.843170573592,46.89631703388538,245.693,8.464592304,-41.15723662313177,139.49343648695722,16.84296892253567,46.89627679725792,245.69799999999998,9.135382741951243,-60.27699026664021,131.83447983644828,16.842718027458307,46.89620790198911,245.82299999999998,14.523816711175098,14.68729662141883,12.527917700290814,12.270021031677079,16.453356605952195,11.400143451220384,16.186604010748788
496.5,8.203363654345509,63.257512798833254,130.4923861675293,16.84433908384225,46.89619582933897,245.077,8.087118901427548,46.70749137144911,138.8220589599625,16.844121909553095,46.89627075795814,245.1705,8.020174295990067,29.28560566470673,143.24619578539668,16.84389329440231,46.8963105547751,245.35299999999998,8.093380814526098,12.28941313745906,145.14075210748112,16.84367026532367,46.896327597039864,245.378,8.128066075140538,-4.359763361510828,147.49474299652002,16.843451789892267,46.896348772095735,245.4905,8.254332660677315,-24.97615210640639,144.10580932387592,16.84318125552527,46.89631828733038,245.693,8.454343235,-40.34854741919204,139.7565438116395,16.842979534395226,46.89627916400977,245.69799999999998,9.100076596809863,-59.45456137154088,132.22835018041332,16.842728819614166,46.89621144500475,245.82299999999998,14.545290308788225,14.694344135237472,12.520075753397204,12.286206098115118,16.431455291255116,11.371134203277414,16.125554101275963
496.6,8.203176079551394,63.99622937464646,130.13326753148218,16.844348777500223,46.896192598928344,245.077,8.092422337367854,47.47703504764515,138.57065684402212,16.844132007733425,46.89626849649915,245.1705,8.018990346447538,30.072562697290557,143.0928825315977,16.843903621085868,46.89630917566324,245.342,8.08663773511252,13.093417938808319,145.07276866112934,16.843680815713107,46.896326985502526,245.378,8.128077104179617,-3.5084096690998856,147.5699961016793,16.843462961607887,46.89634944902644,245.4905,8.252373526678863,-24.161238698182878,144.24109202056312,16.843191949060678,46.89631950425042,245.693,8.444037729,-39.53834968772858,140.01530248300512,16.842990166050118,46.89628149164381,245.69799999999998,9.065666015482359,-58.63290543533954,132.61557737525544,16.842739601627027,46.89621492826271,245.82299999999998,14.566507157294762,14.701883501439356,12.512805873242387,12.260032333346206,16.457777419488078,11.3425088094821,16.06812289164388
496.7,8.202932830362585,64.73280860334782,129.76998676280084,16.8443584431113,46.89618933107772,244.77599999999998,8.097454982406799,48.24614803184878,138.315169104781,16.844142100262086,46.8962661982884,245.1705,8.018277476002362,30.85874135476572,142.93537724489312,16.843913937555357,46.89630775884245,245.342,8.079563886798756,13.896354217776187,145.00091967297263,16.843691352081073,46.89632633919318,245.378,8.128747253539677,-2.7006261347608578,147.66540131810586,16.84347356158298,46.89635030723315,245.4905,8.250075771293455,-23.34582732875729,144.3704333105954,16.843202649130482,46.8963206677252,245.693,8.433675785,-38.728327316032846,140.26854616941966,16.8430007954039,46.896283769668436,245.69799999999998,9.032150997968696,-57.811993530274684,132.99617976510754,16.842750373876488,46.896218351928,245.7445,14.586895696744184,14.710280072313695,12.506303511952607,12.280938118388953,16.444871467299677,11.3153317875895,16.012271367137018
496.8,8.202633906779086,65.46722708537366,129.4024058150482,16.844368080368415,46.896186024545344,244.77599999999998,8.102216836544386,49.01451141256805,138.05584751112636,16.844152182954232,46.89626386559066,245.237,8.018035684654546,31.643845595722972,142.77358115766575,16.843924239926032,46.89630630342425,245.342,8.072159269584805,14.698239617056535,144.92472035441034,16.843701874659086,46.89632565375093,245.372,8.130076523220714,-1.8863724556775867,147.78006181840797,16.843484246461227,46.896351338648564,245.435,8.246098102576385,-22.52989549871606,144.49528586758024,16.843213356029924,46.89632179082211,245.64700000000002,8.423257404,-37.918406436673095,140.51649276417388,16.843011423425864,46.89628600004368,245.69799999999998,8.999531544268892,-56.992165537331715,133.37040506109352,16.842761131902538,46.89622171822886,245.7445,14.6069119440055,14.719415973262418,12.500213800531592,12.300056705489087,16.441610267101918,11.289880541288856,15.958367778586984
496.9,8.202279308800893,66.19946955928432,129.0305242003777,16.844377689071308,46.8961826793268,244.77599999999998,8.106707899780616,49.782119951990715,137.79265835699658,16.844162255741118,46.896261498102724,245.237,8.018264972404081,32.42806728958734,142.60742118041242,16.843934530715664,46.896304808751175,245.342,8.064423883470674,15.49929363404555,144.8447252518751,16.843712386327454,46.89632493416411,245.372,8.132064913222727,-1.1056085703194545,147.83679136343312,16.843494491876463,46.89635184895271,245.435,8.240440520527656,-21.71317157183733,144.6155218259491,16.843224073323498,46.89632287239091,245.64700000000002,8.412782586,-37.10796758772396,140.7598671531045,16.843022058244777,46.89628818929017,245.59,8.967807654382963,-56.17331954681103,133.73800399892068,16.842771877042455,46.89622502492307,245.7445,14.626548477320375,14.729081288407102,12.494591186582511,12.343761849518158,16.396195530382126,11.265600674693644,15.907228377061466
497.0,8.201895716045486,66.92950203970945,128.65433246750516,16.84438726877401,46.89617929533708,244.77599999999998,8.111412063697102,50.54919664654775,137.52558855879786,16.844172321548992,46.896259095706895,245.237,8.018773524934439,33.211231800545164,142.43684987631275,16.843944807632628,46.896303274396494,245.342,8.056878862220408,16.299296414836956,144.7605894545619,16.843722884201185,46.89632417733018,245.372,8.133917687811843,-0.2711217116363859,147.88891282987154,16.843505442260494,46.896352317805395,245.435,8.233103025147264,-20.89789173896636,144.73120473288066,16.843234771667234,46.89632391300327,245.64700000000002,8.402306572,-36.2978927709393,140.99753698813532,16.84303268828676,46.896290327222,245.59,8.936486738900646,-55.35530899168857,134.0990452581043,16.842782611219544,46.896228272628434,245.7445,14.645594472516436,14.739640011098075,12.489449186913395,12.334570545177689,16.405459352339758,11.241464578181052,15.857458485926044
