Date,8,10,2019
Vehicle_order,SMART_TARGET,BMW_I3,MERCEDES_GLE450,JAGUAR_I_PACE,TESLA_MODELX,TESLA_MODEL3,
Number_of_vehicles,6
ACC,1
Distance_setting,S
Time,Speed1,E1,N1,Lon1,Lat1,Alt1,Speed2,E2,N2,Lon2,Lat2,Alt2,Speed3,E3,N3,Lon3,Lat3,Alt3,Speed4,E4,N4,Lon4,Lat4,Alt4,Speed5,E5,N5,Lon5,Lat5,Alt5,Speed6,E6,N6,Lon6,Lat6,Alt6,IVS1,IVS2,IVS3,IVS4,IVS5
38.3,11.115648886467447,134.75347132173286,53.324194054291794,16.845277275012435,46.8955016716904,243.893,11.114355069422263,139.76482560107993,34.43300155138109,16.845343035489428,46.89533173812831,243.715,11.41493885614533,144.2393754737293,15.925331924649527,16.845401751859807,46.895165254502395,243.4255,11.341946685692914,144.8740892640864,1.600992358019886,16.845410080762385,46.895036401543685,243.446,10.904841139762596,142.90936710828498,-19.382813533692893,16.845384299095613,46.894847644117135,243.21,10.614110711946646,138.24394217823618,-39.01240027938157,16.845323078006132,46.89467106841405,243.0755,15.70512831926412,16.20882913949239,9.733714534106467,16.665474814301735,14.85326892355368
38.4,11.114768378095288,134.34436133316223,54.36585998673682,16.84527190654984,46.895511041877185,243.893,11.119858589336374,139.49550837693178,35.455938230312704,16.845339501428946,46.895340939838235,243.715,11.420405408114787,144.14914253464892,17.080153643458054,16.845400567796418,46.895175642569114,243.4255,11.351442938597085,144.8841522622705,2.735403006220775,16.845410212812034,46.895046606004975,243.446,10.916475123951127,143.06341180016167,-18.300408659124905,16.845386320515743,46.89485738076642,243.21,10.625210268381654,138.55319315189894,-37.99159985502032,16.845327136089114,46.89468025090755,243.0755,15.759508433868652,16.123830841116106,9.758888579236721,16.7043518857383,14.877991037238829
38.5,11.113606889194863,133.9271345293602,55.404331106612844,16.84526643157599,46.895520383325405,243.893,11.12653652402419,139.20629477752516,36.48893900293114,16.845335706282327,46.89535023207857,243.6315,11.424201986243125,144.04760798106216,18.231024861562105,16.845399235429895,46.89518599509957,243.4255,11.361114310532214,144.88507196815516,3.8706715890506835,16.845410224880688,46.8950568181837,243.4875,10.9269957367759,143.211069200938,-17.211444476063647,16.845388258119947,46.89486717641921,243.21,10.637104050048023,138.8555963500973,-36.9676413821339,16.84533110431356,46.89468946180891,243.0755,15.798811271868768,16.056819526192058,9.780071795415246,16.73836359915023,14.90748216183268
38.6,11.112381193071018,133.50183623457878,56.439470453321285,16.845260850685644,46.895529694803045,243.893,11.13342544509145,138.90014848296974,37.57490476674615,16.84533168893986,46.89536000075943,243.6315,11.426328590530346,143.93381473759231,19.381142045959614,16.84539774220121,46.895196340847185,243.4255,11.370439007493625,144.8767847095144,5.006850014188834,16.845410116132822,46.89506703854681,243.4875,10.936925219081433,143.3516850547341,-16.120384066000938,16.845390103322874,46.89487699092837,243.21,10.649516864969373,139.1509906169692,-35.94065563239005,16.84533498056473,46.894698699941785,243.0755,15.782306504823936,16.045196827012333,9.800508507831239,16.772099077770434,14.937403248903172
38.7,11.111308063028591,133.06851260367074,57.47119304761762,16.845255164484453,46.895538975545676,243.893,11.139561924143901,138.57805091723634,38.67872522404834,16.845327462280082,46.895369930050144,243.6315,11.426785220976448,143.80726371906158,20.530108084647,16.845396081561216,46.89520667623982,243.4255,11.378895235476632,144.85907549192973,6.143479320531823,16.84540988374722,46.895077262965756,243.4875,10.946785811712267,143.48451339064331,-15.027827593623895,16.84539184633569,46.89488681889521,243.21,10.662173521169311,139.43921662666705,-34.91050785086525,16.845338762751904,46.89470796651838,243.015,15.744001548333573,16.05489311645584,9.820346424752076,16.805772966628997,14.966907191425465
38.8,11.110387499067578,132.62721086169398,58.499449609509966,16.845249373592125,46.89554822511,243.291,11.144945961181538,138.26330410401442,39.769267366865186,16.84532333207906,46.89537973989729,243.6315,11.425571877581437,143.6686388567003,21.67570096747852,16.84539426248466,46.89521698128961,243.4875,11.386482994481234,144.83192905140905,7.280614567771862,16.845409527523575,46.89508749193586,243.4875,10.9565775146684,143.61003915584834,-13.930631673057608,16.845393493522007,46.89489668859565,243.145,10.67507401864784,139.72046930701435,-33.87752179368402,16.845342453432984,46.89471725862634,243.015,15.720329892433446,16.0516582847226,9.83733331794392,16.83630180724304,14.99945321517759
38.9,11.109619501187987,132.1779889437962,59.524178686688565,16.8452434787689,46.895557442943236,243.86599999999999,11.149577556204365,137.95084419362158,40.89010136279561,16.845319231887455,46.89538982223134,243.6315,11.425372271716704,143.5177040162743,22.817344083772745,16.845392281872925,46.89522725080972,243.4875,11.393202284507431,144.79547037119875,8.418308525177705,16.84540904910196,46.89509772593178,243.4875,10.966300327949831,143.72921864333108,-12.829715569893306,16.845395057430586,46.89490659176057,243.452,10.688218357404963,139.99459374602358,-32.84153527320587,16.845346050575163,46.894726577724626,243.015,15.668353868342564,16.07863833215772,9.85093842369965,16.864650948421506,15.034192043039267
39.0,11.109004069389815,131.72090449169204,60.54532328490446,16.845237480771168,46.89556662853271,243.86599999999999,11.153456709212373,137.62089224792638,41.95995996748317,16.845314902160176,46.89539944602209,243.6315,11.428870114753654,143.355146946756,23.956082083840553,16.845390148750848,46.89523749419719,243.4875,11.399053105555224,144.7494684297649,9.556401008977232,16.845408445450843,46.89510796351257,243.55200000000002,10.975954251556566,143.8410606128772,-11.727801597092226,16.845396525054078,46.89491650390171,243.452,10.701606537440675,140.26143771652255,-31.80314594531581,16.845349552180878,46.89473591843709,243.015,15.659916697521751,16.062947891919936,9.862349397415796,16.89346993631357,15.068862569136245
39.1,11.108541203673058,131.25600596297122,61.56282123439321,16.845231380234807,46.89557578131918,243.86599999999999,11.156583420205571,137.2730276537924,43.076593162437256,16.84531033737781,46.89540949056831,243.7825,11.436065406692293,143.1802785265355,25.091194752958785,16.845387854075582,46.8952477049734,243.4875,11.404035457624614,144.69389628597432,10.694728995956822,16.84540771621669,46.89511820321182,243.55200000000002,10.985539285488594,143.9450516921176,-10.622091710946917,16.84539788965586,46.894926450188564,243.452,10.715238558754981,140.52118322072474,-30.762353699906683,16.845352960638415,46.894745280764724,243.274,15.601354912553065,16.09860814215823,9.871136285770364,16.91986060667273,15.106095115919182
39.2,11.108230904037717,130.78333942932244,62.57657569396957,16.84522517776438,46.8955849004315,243.86599999999999,11.15895768918396,136.93032870367983,44.17967815790865,16.845305840380558,46.89541941324325,243.7825,11.446958147532616,142.9934072097789,26.22332758577688,16.84538540189475,46.895257888944855,243.601,11.408149340715596,144.62866161760255,11.833336753735251,16.845406860188028,46.89512844542772,243.55200000000002,10.99505542974592,144.0404792957609,-9.512491472290566,16.845399141885174,46.89493643147064,243.452,10.729114421347873,140.7737193607877,-29.71897593261793,16.845356274492534,46.89475466635014,243.239,15.557225849868608,16.12028746302486,9.877926300179915,16.943821112117806,15.14572306191265
39.3,11.1080731704838,130.3030264575959,63.586628240393345,16.845218874955126,46.8955939862437,243.86599999999999,11.160579516147537,136.588299457239,45.24660248579902,16.845301352171354,46.89542901063907,243.7825,11.461548337274618,142.79488193765042,27.352253028858748,16.845382796787252,46.8952680440646,243.601,11.411394754828178,144.55366863477468,12.972265300401327,16.84540587610787,46.89513869052922,243.55200000000002,11.004502684328553,144.1280094471056,-8.406738898839437,16.845400290481773,46.894946378141476,243.452,10.74323412521936,141.01888928713257,-28.673306306491362,16.845359491685013,46.89476407255169,243.239,15.547682831635694,16.1080940668061,9.88246498566092,16.97313201758534,15.18054269463874
39.4,11.10796752494652,129.81491786370543,64.5928237924652,16.845212469849407,46.89560303736072,244.102,11.162025951908095,136.22408548439245,46.30865700784786,16.845296572847595,46.89543856422908,243.7825,11.479835975918308,142.58488271787658,28.478409782524114,16.845380041115213,46.89527817427891,243.601,11.414728228466275,144.46887982272008,14.111036276727276,16.845404763483934,46.895148934213346,243.55200000000002,11.01429614040036,144.2087384949214,-7.2969968619094026,16.845401349832283,46.89495636069909,243.4285,10.757267162170217,141.2566979232889,-27.62539160914156,16.84536261228046,46.89477349894854,243.239,15.535479750775485,16.09880065262944,9.885691239667036,16.999504412767493,15.218495744761011
39.5,11.1078134893611,129.31904486765356,65.59508877927445,16.8452059628569,46.89561205312082,244.102,11.163874047277439,135.8411869451015,47.35811110831838,16.84529154833941,46.89544800447344,243.7825,11.50182106346368,142.3641868013868,29.60059123401755,16.845377145077947,46.89528826873384,243.601,11.419106290133806,144.3742554613842,15.24998268459642,16.845403521795006,46.89515917947553,243.699,11.024850889125247,144.28141054332838,-6.186147994607492,16.845402303456453,46.89496635321304,243.4285,10.770883024001217,141.48700368104383,-26.57522426987061,16.84536563442091,46.89478294560874,243.239,15.528704537735653,16.08563189620595,9.886018184479669,17.026222513837222,15.256553019052241
39.6,11.107611063727543,128.81563881280525,66.59361834072064,16.84519935701336,46.89562103527931,243.9255,11.166123802255573,135.44262898070286,48.35956452621564,16.845286318343607,46.89545701293315,243.75,11.527503599910734,142.13260010285018,30.722103615618998,16.845374106128613,46.895298357170226,243.601,11.424528939830768,144.26996380249736,16.388701592172158,16.845402153248926,46.89516942269125,243.699,11.036166930503203,144.34582056607505,-5.0737752105450005,16.845403148663873,46.89497635943524,243.4285,10.784081710712359,141.70987109857344,-25.52273987606451,16.845368558953258,46.89479241311177,243.239,15.561514797318544,16.031549632781072,9.887204945262773,17.052501624992164,15.295031847692359
